  1: [[Level 256 ]]:	2/38
 88: [[Level 573 ]]:	1/70
 89: [[Level 579 ]]:	4/67
 90: [[Level 584 ]]:	2/65
 91: [[Level 587 ]]:	1/64
 92: [[Level 589 ]]:	1/58
 93: [[Level 595 ]]:	2/70
 94: [[Level 599 ]]:	2/53
 95: [[Level 605 ]]:	1/64
 96: [[Level 607 ]]:	2/74
 97: [[Level 610 ]]:	1/56
 98: [[Level 614 ]]:	3/59
 99: [[Level 619 ]]:	1/60
100: [[Level 625 ]]:	1/59
101: [[Level 629 ]]:	20/43
102: [[Level 634 ]]:	1/69
103: [[Level 638 ]]:	2/70
104: [[Level 640 ]]:	1/72
105: [[Level 643 ]]:	1/64
106: [[Level 644 ]]:	8/73
107: [[Level 647 ]]:	4/61
108: [[Level 655 ]]:	4/71
109: [[Level 658 ]]:	1/61
110: [[Level 661 ]]:	1/57
111: [[Level 667 ]]:	8/65
112: [[Level 671 ]]:	1/60
113: [[Level 675 ]]:	2/75
114: [[Level 679 ]]:	1/62
115: [[Level 684 ]]:	7/74
116: [[Level 688 ]]:	5/76
117: [[Level 692 ]]:	1/67
118: [[Level 699 ]]:	1/80
119: [[Level 702 ]]:	3/64
120: [[Level 704 ]]:	10/63
121: [[Level 706 ]]:	1/67
122: [[Level 709 ]]:	6/61
123: [[Level 714 ]]:	2/72
124: [[Level 721 ]]:	3/60
125: [[Level 730 ]]:	1/76
126: [[Level 733 ]]:	2/79
127: [[Level 736 ]]:	4/77
128: [[Level 740 ]]:	3/78
129: [[Level 746 ]]:	3/78
130: [[Level 751 ]]:	1/61
131: [[Level 760 ]]:	4/63
132: [[Level 764 ]]:	4/64
133: [[Level 770 ]]:	4/75
134: [[Level 777 ]]:	1/56
135: [[Level 780 ]]:	1/74
136: [[Level 784 ]]:	4/68
137: [[Level 787 ]]:	4/62
138: [[Level 789 ]]:	2/71
139: [[Level 792 ]]:	2/63
140: [[Level 798 ]]:	1/70
141: [[Level 803 ]]:	1/80
142: [[Level 806 ]]:	2/65
143: [[Level 811 ]]:	2/58
144: [[Level 816 ]]:	1/80
145: [[Level 819 ]]:	1/79
146: [[Level 823 ]]:	3/72
147: [[Level 828 ]]:	4/77
148: [[Level 835 ]]:	3/72
149: [[Level 837 ]]:	2/70
150: [[Level 841 ]]:	1/80
151: [[Level 847 ]]:	8/68
152: [[Level 852 ]]:	1/56
153: [[Level 856 ]]:	2/62
154: [[Level 862 ]]:	3/60
155: [[Level 870 ]]:	1/62
156: [[Level 874 ]]:	1/60
157: [[Level 878 ]]:	1/60
158: [[Level 880 ]]:	2/68
159: [[Level 883 ]]:	4/57
160: [[Level 889 ]]:	1/56
161: [[Level 894 ]]:	1/62
162: [[Level 897 ]]:	2/77
163: [[Level 904 ]]:	1/72
164: [[Level 907 ]]:	1/58
165: [[Level 911 ]]:	1/70
166: [[Level 916 ]]:	1/70
167: [[Level 923 ]]:	9/59
168: [[Level 927 ]]:	1/61
169: [[Level 934 ]]:	1/74
170: [[Level 937 ]]:	2/79
171: [[Level 941 ]]:	1/80
172: [[Level 948 ]]:	1/66
173: [[Level 953 ]]:	1/74
174: [[Level 961 ]]:	3/61
175: [[Level 965 ]]:	1/62
176: [[Level 968 ]]:	1/68
177: [[Level 972 ]]:	2/77
178: [[Level 975 ]]:	1/80
179: [[Level 980 ]]:	3/78
180: [[Level 986 ]]:	1/80
181: [[Level 990 ]]:	1/72
182: [[Level 992 ]]:	1/80
183: [[Level 998 ]]:	1/80
184: [[Level 1009]]:	1/65
185: [[Level 1011]]:	1/65
186: [[Level 1019]]:	3/60
187: [[Level 1022]]:	6/62
188: [[Level 1027]]:	5/61
189: [[Level 1031]]:	10/62
190: [[Level 1033]]:	3/62
191: [[Level 1038]]:	2/79
192: [[Level 1045]]:	2/68
193: [[Level 1050]]:	3/59
194: [[Level 1052]]:	1/63
195: [[Level 1056]]:	1/80
196: [[Level 1061]]:	60/17
197: [[Level 1068]]:	1/63
198: [[Level 1072]]:	5/58
199: [[Level 1076]]:	3/44
200: [[Level 1087]]:	14/67
201: [[Level 1089]]:	1/72
202: [[Level 1092]]:	2/72
203: [[Level 1098]]:	1/57
204: [[Level 1105]]:	1/74
205: [[Level 1109]]:	1/80
206: [[Level 1115]]:	2/79
207: [[Level 1121]]:	9/72
208: [[Level 1128]]:	1/63
209: [[Level 1135]]:	1/80
210: [[Level 1139]]:	2/70
211: [[Level 1141]]:	1/80
212: [[Level 1146]]:	2/70
213: [[Level 1155]]:	1/62
214: [[Level 1159]]:	1/70
215: [[Level 1161]]:	3/78
216: [[Level 1163]]:	2/57
217: [[Level 1166]]:	3/72
218: [[Level 1172]]:	1/66
219: [[Level 1177]]:	3/78
220: [[Level 1182]]:	1/78
221: [[Level 1188]]:	1/73
222: [[Level 1193]]:	1/67
223: [[Level 1198]]:	1/65
224: [[Level 1201]]:	4/49
225: [[Level 1204]]:	1/70
226: [[Level 1208]]:	1/63
227: [[Level 1212]]:	2/59
228: [[Level 1221]]:	1/67
229: [[Level 1224]]:	4/65
230: [[Level 1230]]:	2/65
231: [[Level 1233]]:	2/62
232: [[Level 1236]]:	1/80
233: [[Level 1239]]:	1/58
234: [[Level 1241]]:	1/80
235: [[Level 1246]]:	4/77
236: [[Level 1251]]:	1/61
237: [[Level 1254]]:	3/62
238: [[Level 1258]]:	3/63
239: [[Level 1260]]:	5/67
240: [[Level 1265]]:	3/65
241: [[Level 1270]]:	1/70
242: [[Level 1274]]:	5/76
243: [[Level 1276]]:	4/65
244: [[Level 1280]]:	1/60
245: [[Level 1285]]:	1/80
246: [[Level 1287]]:	10/51
247: [[Level 1296]]:	6/57
248: [[Level 1299]]:	1/71
249: [[Level 1304]]:	1/70
250: [[Level 1306]]:	9/72
251: [[Level 1310]]:	2/79
252: [[Level 1314]]:	1/54
253: [[Level 1320]]:	2/71
254: [[Level 1325]]:	2/75
255: [[Level 1328]]:	2/71
256: [[Level 1330]]:	3/78
257: [[Level 1334]]:	2/74
258: [[Level 1340]]:	1/64
259: [[Level 1345]]:	2/79
260: [[Level 1350]]:	2/51
261: [[Level 1355]]:	5/46
262: [[Level 1360]]:	1/59
263: [[Level 1364]]:	1/80
264: [[Level 1370]]:	3/60
265: [[Level 1372]]:	8/73
266: [[Level 1377]]:	1/80
267: [[Level 1383]]:	1/77
268: [[Level 1386]]:	4/77
269: [[Level 1394]]:	1/68
270: [[Level 1400]]:	3/49
271: [[Level 1403]]:	1/75
272: [[Level 1407]]:	1/80
273: [[Level 1414]]:	1/80
274: [[Level 1418]]:	4/63
275: [[Level 1420]]:	2/58
276: [[Level 1422]]:	18/63
277: [[Level 1427]]:	1/80
278: [[Level 1431]]:	3/64
279: [[Level 1437]]:	5/67
280: [[Level 1439]]:	1/72
281: [[Level 1449]]:	3/66
282: [[Level 1452]]:	1/63
283: [[Level 1458]]:	2/60
284: [[Level 1462]]:	1/73
285: [[Level 1467]]:	2/56
286: [[Level 1472]]:	4/64
287: [[Level 1480]]:	1/63
288: [[Level 1482]]:	5/37
289: [[Level 1488]]:	5/54
290: [[Level 1491]]:	3/70
291: [[Level 1498]]:	1/80
292: [[Level 1501]]:	7/68
293: [[Level 1503]]:	1/63
294: [[Level 1507]]:	1/80
295: [[Level 1514]]:	4/61
296: [[Level 1519]]:	3/78
297: [[Level 1525]]:	3/78
298: [[Level 1527]]:	16/65
299: [[Level 1533]]:	13/68
300: [[Level 1538]]:	4/77
301: [[Level 1542]]:	3/78
302: [[Level 1544]]:	1/64
303: [[Level 1546]]:	3/78
304: [[Level 1551]]:	1/67
305: [[Level 1556]]:	4/77
306: [[Level 1561]]:	2/50
307: [[Level 1564]]:	5/58
308: [[Level 1568]]:	16/57
309: [[Level 1572]]:	2/73
310: [[Level 1579]]:	1/60
311: [[Level 1584]]:	8/58
312: [[Level 1587]]:	6/69
313: [[Level 1592]]:	7/65
314: [[Level 1597]]:	2/57
315: [[Level 1604]]:	4/77
316: [[Level 1609]]:	1/80
317: [[Level 1613]]:	6/75
318: [[Level 1616]]:	13/36
319: [[Level 1621]]:	1/56
320: [[Level 1627]]:	1/59
321: [[Level 1632]]:	8/73
322: [[Level 1638]]:	2/58
323: [[Level 1643]]:	2/72
324: [[Level 1647]]:	1/64
325: [[Level 1653]]:	3/62
326: [[Level 1657]]:	5/76
327: [[Level 1663]]:	2/79
328: [[Level 1667]]:	1/80
329: [[Level 1671]]:	13/48
330: [[Level 1674]]:	5/68
331: [[Level 1676]]:	4/55
332: [[Level 1681]]:	9/53
333: [[Level 1687]]:	2/79
334: [[Level 1696]]:	9/54
335: [[Level 1699]]:	4/61
336: [[Level 1703]]:	3/70
337: [[Level 1706]]:	3/61
338: [[Level 1712]]:	1/68
339: [[Level 1715]]:	1/70
340: [[Level 1719]]:	4/59
341: [[Level 1723]]:	1/80
342: [[Level 1727]]:	12/58
343: [[Level 1731]]:	2/79
344: [[Level 1733]]:	1/76
345: [[Level 1738]]:	4/65
346: [[Level 1741]]:	12/40
347: [[Level 1744]]:	9/61
348: [[Level 1750]]:	2/68
349: [[Level 1753]]:	8/72
350: [[Level 1759]]:	1/79
351: [[Level 1764]]:	1/48
352: [[Level 1769]]:	2/73
353: [[Level 1777]]:	1/74
354: [[Level 1780]]:	2/61
355: [[Level 1783]]:	4/76
356: [[Level 1788]]:	3/67
357: [[Level 1793]]:	2/73
358: [[Level 1803]]:	11/42
359: [[Level 1807]]:	1/80
360: [[Level 1809]]:	4/65
361: [[Level 1814]]:	5/71
362: [[Level 1821]]:	6/45
363: [[Level 1825]]:	1/80
364: [[Level 1828]]:	2/79
365: [[Level 1833]]:	2/69
366: [[Level 1838]]:	4/76
367: [[Level 1841]]:	1/69
368: [[Level 1846]]:	17/64
369: [[Level 1851]]:	1/72
370: [[Level 1858]]:	6/72
371: [[Level 1863]]:	5/49
372: [[Level 1866]]:	14/54
373: [[Level 1871]]:	17/55
374: [[Level 1875]]:	1/52
375: [[Level 1879]]:	1/74
376: [[Level 1885]]:	2/64
377: [[Level 1887]]:	1/80
378: [[Level 1891]]:	9/54
379: [[Level 1895]]:	9/72
380: [[Level 1899]]:	2/79
381: [[Level 1901]]:	4/77
382: [[Level 1906]]:	1/65
383: [[Level 1911]]:	8/52
384: [[Level 1920]]:	5/59
385: [[Level 1923]]:	12/45
386: [[Level 1928]]:	3/78
387: [[Level 1931]]:	22/59
388: [[Level 1935]]:	2/67
389: [[Level 1942]]:	1/75
390: [[Level 1946]]:	1/59
391: [[Level 1953]]:	13/59
392: [[Level 1957]]:	1/70
393: [[Level 1962]]:	4/53
394: [[Level 1968]]:	2/47
395: [[Level 1972]]:	5/54
396: [[Level 1980]]:	2/46
397: [[Level 1983]]:	3/45
398: [[Level 1987]]:	8/55
399: [[Level 1994]]:	6/50
400: [[Level 1999]]:	3/64
401: [[Level 2004]]:	3/60
402: [[Level 2009]]:	10/53
403: [[Level 2013]]:	1/61
404: [[Level 2020]]:	4/60
405: [[Level 2025]]:	4/57
406: [[Level 2030]]:	5/66
407: [[Level 2032]]:	2/72
408: [[Level 2037]]:	3/56
409: [[Level 2042]]:	1/62
410: [[Level 2050]]:	3/60
411: [[Level 2052]]:	1/62
412: [[Level 2055]]:	1/64
413: [[Level 2060]]:	5/58
414: [[Level 2065]]:	2/69
415: [[Level 2067]]:	1/80
416: [[Level 2073]]:	9/64
417: [[Level 2077]]:	5/46
418: [[Level 2082]]:	1/60
419: [[Level 2087]]:	9/72
420: [[Level 2092]]:	8/51
421: [[Level 2097]]:	1/66
422: [[Level 2100]]:	2/60
423: [[Level 2104]]:	2/57
424: [[Level 2108]]:	4/59
425: [[Level 2115]]:	1/59
426: [[Level 2121]]:	10/58
427: [[Level 2125]]:	10/56
428: [[Level 2128]]:	2/70
429: [[Level 2131]]:	8/43
430: [[Level 2135]]:	1/61
431: [[Level 2139]]:	1/55
432: [[Level 2146]]:	1/53
433: [[Level 2151]]:	4/64
434: [[Level 2157]]:	2/51
435: [[Level 2162]]:	9/61
436: [[Level 2167]]:	1/58
437: [[Level 2171]]:	1/72
438: [[Level 2178]]:	4/65
439: [[Level 2182]]:	2/48
440: [[Level 2186]]:	3/54
441: [[Level 2194]]:	1/68
442: [[Level 2199]]:	1/72
443: [[Level 2201]]:	1/54
444: [[Level 2205]]:	6/50
445: [[Level 2212]]:	1/58
446: [[Level 2220]]:	1/67
447: [[Level 2224]]:	1/69
448: [[Level 2228]]:	1/62
449: [[Level 2232]]:	2/72
450: [[Level 2238]]:	8/62
451: [[Level 2244]]:	9/54
452: [[Level 2247]]:	2/76
453: [[Level 2252]]:	1/64
454: [[Level 2257]]:	4/59
455: [[Level 2262]]:	4/60
456: [[Level 2268]]:	1/49
457: [[Level 2275]]:	2/61
458: [[Level 2280]]:	9/68
459: [[Level 2285]]:	4/66
460: [[Level 2290]]:	1/64
461: [[Level 2294]]:	4/53
462: [[Level 2298]]:	2/61
463: [[Level 2302]]:	16/41
464: [[Level 2310]]:	2/60
465: [[Level 2315]]:	1/67
466: [[Level 2320]]:	4/54
467: [[Level 2322]]:	7/69
468: [[Level 2326]]:	2/64
469: [[Level 2329]]:	1/72
470: [[Level 2333]]:	1/49
471: [[Level 2337]]:	2/54
472: [[Level 2342]]:	3/67
473: [[Level 2350]]:	8/61
474: [[Level 2355]]:	1/67
475: [[Level 2359]]:	2/62
476: [[Level 2363]]:	6/70
477: [[Level 2367]]:	3/72
478: [[Level 2373]]:	1/60
479: [[Level 2377]]:	2/58
480: [[Level 2383]]:	1/61
481: [[Level 2391]]:	4/37
482: [[Level 2395]]:	5/56
483: [[Level 2397]]:	3/44
484: [[Level 2403]]:	1/60
485: [[Level 2407]]:	2/60
486: [[Level 2413]]:	2/59
487: [[Level 2423]]:	3/69
488: [[Level 2427]]:	1/67
489: [[Level 2431]]:	1/72
490: [[Level 2434]]:	3/50
491: [[Level 2438]]:	8/49
492: [[Level 2441]]:	1/48
493: [[Level 2446]]:	2/62
494: [[Level 2454]]:	3/54
495: [[Level 2459]]:	1/80
496: [[Level 2466]]:	2/60
497: [[Level 2470]]:	2/48
498: [[Level 2476]]:	1/76
499: [[Level 2484]]:	2/75
500: [[Level 2489]]:	2/63
501: [[Level 2496]]:	1/54
502: [[Level 2499]]:	6/39
503: [[Level 2504]]:	4/56
504: [[Level 2509]]:	1/60
505: [[Level 2511]]:	3/56
506: [[Level 2514]]:	9/48
507: [[Level 2516]]:	4/40
508: [[Level 2520]]:	9/54
509: [[Level 2525]]:	1/57
510: [[Level 2530]]:	1/77
511: [[Level 2534]]:	1/52
512: [[Level 2538]]:	2/55
513: [[Level 2542]]:	13/51
514: [[Level 2545]]:	5/55
515: [[Level 2551]]:	4/48
516: [[Level 2557]]:	2/58
517: [[Level 2561]]:	2/54
