L 168	4000	45000	65000
L 169	2000	25000	40000
L 170	10000	85000	110000
L 171	1000	25000	35000
L 172	1000	25000	35000
L 173	3000	45000	55000
L 174	1000	35000	45000
L 175	12000	50000	70000
L 176	1000	15000	25000
L 177	1000	30000	40000
L 178	20000	90000	110000
L 179	10000	90000	120000
L 180	1000	25000	35000
L 181	10000	70000	80000
L 182	2000	20000	40000
L 183	2000	15000	35000
L 184	1000	30000	40000
L 185	23000	90000	110000
L 186	10000	110000	120000
L 187	2000	10000	20000
L 188	7000	55000	75000
L 189	10000	35000	45000
L 190	1000	25000	35000
L 191	1000	10000	15000
L 192	15000	120000	140000
L 193	2000	18000	25000
L 194	2000	25000	35000
L 195	10000	115000	125000
L 196	3000	25000	50000
L 197	3000	30000	45000
L 198	25000	60000	75000
L 199	12000	45000	65000
L 200	3000	60000	75000
L 201	3000	45000	75000
L 202	10000	90000	125000
L 203	3000	30000	45000
L 204	3000	25000	35000
L 205	1000	35000	45000
L 206	10000	110000	130000
L 207	3000	45000	55000
L 208	2000	15000	30000
L 209	12000	50000	65000
L 210	3000	20000	30000
L 211	2000	25000	50000
L 212	36000	60000	90000
L 213	36000	45000	65000
L 214	1000	40000	75000
L 215	40000	65000	90000
L 216	1000	75000	100000
L 217	11000	70000	100000
L 218	10000	20000	35000
L 219	1000	25000	40000
L 220	4000	50000	65000
L 221	1000	25000	30000
L 222	10000	40000	55000
L 223	72000	150000	200000
L 224	1000	50000	70000
L 225	16000	70000	90000
L 226	3000	90000	130000
L 227	1000	25000	35000
L 228	1000	20000	25000
L 229	10000	120000	140000
L 230	1000	40000	60000
L 231	6000	55000	75000
L 232	1000	30000	40000
L 233	10000	140000	160000
L 234	10000	75000	95000
L 235	10000	80000	100000
L 236	9000	50000	70000
L 237	2000	20000	30000
L 238	3000	30000	50000
L 239	10000	210000	260000
L 240	13000	60000	75000
L 241	15000	50000	70000
L 242	3000	45000	65000
L 243	3000	65000	80000
L 244	3000	30000	50000
L 245	20000	50000	75000
L 246	1000	10000	15000
L 247	3000	20000	30000
L 248	25000	45000	65000
L 249	2000	10000	20000
L 250	6000	55000	70000
L 251	9000	30000	55000
L 252	30000	50000	65000
L 253	5000	30000	45000
L 254	18000	50000	65000
L 255	6000	25000	35000
L 256	1000	35000	55000
L 257	2000	15000	25000
L 258	1000	7000	12000
L 259	2000	25000	35000
L 260	2000	35000	45000
L 261	1000	15000	25000
L 262	1000	30000	40000
L 263	1000	50000	70000
L 264	2000	35000	45000
L 265	2000	40000	50000
L 266	2000	35000	45000
L 267	2000	50000	60000
L 268	2000	40000	55000
L 269	2000	120000	160000
L 270	2000	15000	20000
L 271	30000	45000	70000
L 272	9000	40000	55000
L 273	3000	30000	45000
L 274	3000	30000	45000
L 275	3000	22000	30000
L 276	2000	35000	50000
L 277	3000	30000	40000
L 278	25000	55000	90000
L 279	1000	20000	28000
L 280	10000	125000	150000
L 281	5000	35000	45000
L 282	23000	40000	65000
L 283	1500	105000	120000
L 284	30000	115000	160000
L 285	32000	120000	160000
L 286	2000	25000	50000
L 287	2000	30000	65000
L 288	2000	20000	30000
L 289	10000	145000	155000
L 290	6000	45000	55000
L 291	3000	20000	25000
L 292	2000	20000	30000
L 293	2000	35000	45000
L 294	10000	100000	120000
L 295	25000	120000	150000
L 296	2000	40000	60000
L 297	5000	20000	30000
L 298	12000	95000	115000
L 299	2000	35000	50000
L 300	50000	130000	160000
L 301	1000	20000	30000
L 302	10000	30000	40000
L 303	40000	120000	150000
L 304	20000	100000	120000
L 305	15000	70000	90000
L 306	1000	30000	45000
L 307	1000	60000	80000
L 308	22000	60000	80000
L 309	10000	80000	100000
L 310	1000	15000	20000
L 311	10000	110000	145000
L 312	3000	30000	55000
L 313	10000	20000	30000
L 314	32000	115000	145000
L 315	10000	70000	85000
L 316	10000	80000	100000
L 317	2000	30000	40000
L 318	6000	35000	45000
L 319	3000	25000	40000
L 320	3000	25000	35000
L 321	13000	45000	60000
L 322	2000	35000	50000
L 323	6000	45000	55000
L 324	38000	100000	130000
L 325	10000	150000	180000
L 326	1000	15000	25000
L 327	36000	85000	100000
L 328	3000	45000	55000
L 329	2000	20000	30000
L 330	16000	105000	125000
L 331	10000	45000	60000
L 332	10000	60000	90000
L 333	10000	75000	90000
L 334	46000	150000	170000
L 335	5000	60000	70000
L 336	20000	60000	70000
L 337	5000	30000	40000
L 338	17000	55000	75000
L 339	10000	190000	210000
L 340	10000	60000	70000
L 341	10000	30000	60000
L 342	2000	20000	30000
L 343	10000	80000	100000
L 344	2000	35000	45000
L 345	10000	75000	90000
L 346	1000	17000	22000
L 347	10000	45000	60000
L 348	5000	50000	60000
L 349	6000	55000	75000
L 350	4000	40000	50000
L 351	15000	80000	100000
L 352	10000	45000	60000
L 353	3000	40000	50000
L 354	3000	30000	40000
L 355	2000	30000	40000
L 356	1000	17000	22000
L 357	10000	70000	80000
L 358	34000	130000	150000
L 359	3000	40000	55000
L 360	15000	90000	120000
L 361	31000	90000	110000
L 362	3000	30000	40000
L 363	5000	100000	120000
L 364	2000	40000	80000
L 365	3000	60000	90000
L 366	3000	40000	50000
L 367	21000	80000	100000
L 368	10000	100000	120000
L 369	14000	55000	70000
L 370	16000	115000	145000
L 371	5000	25000	30000
L 372	5000	50000	60000
L 373	21000	60000	70000
L 374	15000	145000	160000
L 375	36000	105000	130000
L 376	25000	155000	170000
L 377	3000	75000	90000
L 378	3000	55000	80000
L 379	24000	95000	110000
L 380	10000	140000	170000
L 381	6000	70000	100000
L 382	16000	85000	110000
L 383	1000	15000	25000
L 384	5000	50000	60000
L 385	32000	110000	135000
L 386	3000	50000	60000
L 387	1000	30000	50000
L 388	28000	100000	130000
L 389	18000	110000	130000
L 390	9000	80000	120000
L 391	6000	120000	180000
L 392	3000	55000	75000
L 393	3000	40000	50000
L 394	12000	120000	150000
L 395	20000	70000	90000
L 396	3000	60000	70000
L 397	10000	110000	135000
L 398	3000	40000	50000
L 399	3000	45000	60000
L 400	17000	110000	130000
L 401	5000	50000	60000
L 402	27000	85000	110000
L 403	3000	40000	50000
L 404	24000	65000	80000
L 405	3000	40000	50000
L 406	3000	50000	70000
L 407	6000	70000	80000
L 408	26000	115000	140000
L 409	2000	60000	80000
L 410	5000	85000	100000
L 411	3000	40000	60000
L 412	1000	15000	20000
L 413	25000	145000	170000
L 414	14000	85000	110000
L 415	3000	40000	50000
L 416	3000	60000	70000
L 417	19000	130000	150000
L 418	1000	20000	30000
L 419	2000	35000	50000
L 420	36000	110000	130000
L 421	3000	35000	50000
L 422	16000	150000	170000
L 423	25000	100000	130000
L 424	3000	75000	90000
L 425	32000	200000	270000
L 426	3000	85000	100000
L 427	9000	45000	60000
L 428	3000	40000	60000
L 429	2000	135000	165000
L 430	3000	50000	65000
L 431	1000	10000	15000
L 432	3000	50000	60000
L 433	20000	110000	130000
L 434	31000	110000	130000
L 435	2000	35000	55000
L 436	5000	100000	125000
L 437	20000	80000	100000
L 438	10000	130000	160000
L 439	30000	100000	120000
L 440	10000	135000	160000
L 441	2000	30000	45000
L 442	31000	100000	120000
L 443	10000	100000	130000
L 444	2000	55000	70000
L 445	30000	120000	135000
L 446	2000	45000	65000
L 447	10000	140000	170000
L 448	9000	80000	100000
L 449	2000	80000	100000
L 450	50000	135000	165000
L 451	50000	300000	500000
L 452	9000	55000	70000
L 453	2000	40000	50000
L 454	36000	130000	150000
L 455	3000	40000	50000
L 456	10000	110000	140000
L 457	2000	45000	60000
L 458	10000	120000	140000
L 459	3000	75000	90000
L 460	14000	80000	100000
L 461	2000	25000	40000
L 462	10000	135000	165000
L 463	3000	55000	80000
L 464	2000	50000	70000
L 465	10000	120000	160000
L 466	10000	55000	70000
L 467	3000	45000	60000
L 468	16000	150000	170000
L 469	6000	35000	45000
L 470	34000	120000	150000
L 471	3000	35000	50000
L 472	30000	160000	190000
L 473	19000	110000	150000
L 474	6000	55000	70000
L 475	14000	110000	140000
L 476	30000	185000	200000
L 477	3000	60000	75000
L 478	5000	30000	38000
L 479	18000	110000	140000
L 480	3000	50000	70000
L 481	3000	30000	40000
L 482	5000	30000	35000
L 483	5000	80000	100000
L 484	3000	30000	40000
L 485	18000	100000	120000
L 486	4000	55000	75000
L 487	19000	110000	130000
L 488	3000	55000	70000
L 489	3000	30000	45000
L 490	18000	125000	155000
L 491	2000	70000	100000
L 492	2000	70000	105000
L 493	8000	60000	75000
L 494	2000	100000	120000
L 495	17000	80000	100000
L 496	3000	35000	50000
L 497	21000	120000	150000
L 498	5000	30000	50000
L 499	25000	100000	130000
L 500	10000	200000	300000
L 501	9000	50000	60000
L 502	3000	20000	30000
L 503	3000	20000	35000
L 504	30000	100000	130000
L 505	3000	80000	100000
L 506	5000	20000	25000
L 507	3000	30000	40000
L 508	10000	170000	200000
L 509	3000	50000	60000
L 510	20000	100000	120000
L 511	5000	75000	100000
L 512	21000	100000	130000
L 513	3000	40000	50000
L 514	35000	80000	110000
L 515	2000	20000	30000
L 516	0	20000	30000
L 517	2000	35000	50000
L 518	20000	80000	100000
L 519	16000	60000	80000
L 520	3000	40000	50000
L 521	27000	130000	155000
L 522	19000	120000	150000
L 523	3000	15000	25000
L 524	15000	220000	350000
L 525	30000	80000	100000
L 526	3000	40000	60000
L 527	3000	20000	30000
L 528	20000	70000	85000
L 529	3000	50000	70000
L 530	20000	150000	180000
L 531	3000	30000	50000
L 532	17000	40000	50000
L 533	20000	110000	135000
L 534	24000	90000	110000
L 535	3000	40000	60000
L 536	3000	25000	30000
L 537	3000	55000	65000
L 538	3000	20000	25000
L 539	10000	75000	95000
L 540	52000	135000	150000
L 541	3000	30000	40000
L 542	3000	40000	50000
L 543	9000	30000	40000
L 544	18000	70000	90000
L 545	9000	50000	70000
L 546	10000	115000	140000
L 547	3000	20000	30000
L 548	17000	100000	120000
L 549	20000	80000	100000
L 550	20000	100000	120000
L 551	3000	40000	50000
L 552	3000	20000	25000
L 553	23000	75000	90000
L 554	4000	40000	50000
L 555	3000	45000	60000
L 556	18000	100000	140000
L 557	1500	30000	40000
L 558	3000	40000	60000
L 559	24000	80000	100000
L 560	3000	90000	120000
L 561	10000	115000	150000
L 562	9000	65000	80000
L 563	5000	45000	60000
L 564	10000	100000	130000
L 565	3000	140000	170000
L 566	9000	50000	75000
L 567	18000	100000	120000
L 568	6000	70000	90000
L 569	3000	25000	35000
L 570	3000	35000	55000
L 571	3000	35000	50000
L 572	20000	150000	180000
L 573	3000	30000	40000
L 574	33000	200000	250000
L 575	21000	50000	70000
L 576	2000	20000	30000
L 577	4000	80000	120000
L 578	20000	90000	120000
L 579	3000	100000	170000
L 580	3000	75000	100000
L 581	8000	40000	60000
L 582	13000	120000	150000
L 583	5000	50000	90000
L 584	3000	30000	40000
L 585	22000	100000	130000
L 586	10000	130000	160000
L 587	3000	20000	30000
L 588	3000	25000	50000
L 589	4000	50000	60000
L 590	6000	18000	25000
L 591	5000	25000	35000
L 592	10000	60000	80000
L 593	1500	20000	30000
L 594	28000	160000	200000
L 595	3000	20000	30000
L 596	13000	60000	70000
L 597	3000	45000	60000
L 598	12000	100000	130000
L 599	10000	25000	30000
L 600	5000	100000	130000
L 601	4000	70000	110000
L 602	5000	30000	40000
L 603	12000	70000	90000
L 604	40000	100000	125000
L 605	10000	80000	100000
L 606	3000	70000	90000
L 607	3000	25000	40000
L 608	3000	15000	25000
L 609	10000	80000	120000
L 610	3000	20000	30000
L 611	3000	30000	45000
L 612	18000	150000	200000
L 613	3000	70000	85000
L 614	3000	20000	30000
L 615	10000	45000	55000
L 616	10000	75000	100000
L 617	3000	45000	60000
L 618	10000	65000	90000
L 619	3000	40000	50000
L 620	10000	150000	180000
L 621	20000	145000	185000
L 622	30000	150000	200000
L 623	10000	75000	100000
L 624	16000	80000	100000
L 625	3000	50000	60000
L 626	10000	155000	180000
L 627	12000	180000	260000
L 628	4000	20000	30000
L 629	3000	20000	30000
L 630	36000	65000	85000
L 631	28000	65000	90000
L 632	10000	80000	100000
L 633	1000	9000	12000
L 634	3000	20000	40000
L 635	20000	130000	175000
L 636	12000	140000	170000
L 637	20000	120000	220000
L 638	5000	18000	25000
L 639	5000	190000	250000
L 640	5000	70000	90000
L 641	3000	20000	30000
L 642	50000	140000	180000
L 643	3000	60000	80000
L 644	10000	55000	80000
L 645	5000	120000	160000
L 646	10000	200000	260000
L 647	3000	55000	70000
L 648	20000	140000	170000
L 649	3000	40000	50000
L 650	20000	100000	130000
L 651	3000	40000	50000
L 652	10000	90000	110000
L 653	3000	30000	40000
L 654	30000	140000	180000
L 655	3000	35000	47000
L 656	3000	45000	60000
L 657	3000	30000	45000
L 658	3000	30000	45000
L 659	3000	25000	35000
L 660	24000	80000	100000
L 661	3000	20000	25000
L 662	3000	25000	50000
L 663	25000	80000	100000
L 664	10000	90000	120000
L 665	15000	80000	100000
L 666	26000	95000	120000
L 667	3000	40000	60000
L 668	25000	175000	200000
L 669	3000	40000	50000
L 670	6000	75000	100000
L 671	3000	20000	30000
L 672	1000	10000	15000
L 673	10000	100000	120000
L 674	16000	45000	60000
L 675	5000	65000	80000
L 676	3000	50000	70000
L 677	5000	25000	35000
L 678	20000	100000	130000
L 679	5000	30000	40000
L 680	22000	80000	100000
L 681	35000	80000	100000
L 682	5000	45000	80000
L 683	30000	95000	120000
L 684	3000	45000	60000
L 685	8000	60000	90000
L 686	8000	20000	30000
L 687	10000	110000	135000
L 688	5000	50000	70000
L 689	5000	55000	75000
L 690	24000	85000	105000
L 691	3000	35000	50000
L 692	3000	25000	35000
L 693	26000	75000	90000
L 694	12000	170000	190000
L 695	28000	80000	100000
L 696	10000	75000	100000
L 697	17000	75000	105000
L 698	10000	95000	120000
L 699	5000	25000	30000
L 700	3000	20000	35000
L 701	3000	45000	75000
L 702	3000	25000	35000
L 703	12000	100000	110000
L 704	3000	35000	50000
L 705	16000	65000	80000
L 706	3000	30000	40000
L 707	10000	95000	115000
L 708	15000	95000	105000
L 709	5000	25000	40000
L 710	5000	30000	40000
L 711	15000	80000	100000
L 712	24000	65000	85000
L 713	10000	75000	95000
L 714	5000	40000	60000
L 715	25000	190000	260000
L 716	3000	17000	30000
L 717	3000	35000	50000
L 718	3000	30000	45000
L 719	20000	110000	150000
L 720	22000	100000	125000
L 721	5000	20000	30000
L 722	6000	25000	35000
L 723	24000	100000	140000
L 724	10000	120000	140000
L 725	16000	55000	70000
L 726	15000	140000	175000
L 727	3000	50000	70000
L 728	6000	27000	35000
L 729	10000	140000	160000
L 730	3000	65000	80000
L 731	10000	95000	120000
L 732	5000	30000	45000
L 733	3000	50000	65000
L 734	3000	65000	80000
L 735	15000	70000	90000
L 736	3000	55000	80000
L 737	28000	110000	150000
L 738	50000	170000	215000
L 739	18000	80000	105000
L 740	3000	45000	65000
L 741	5000	45000	60000
L 742	3000	25000	40000
L 743	20000	80000	100000
L 744	3000	60000	70000
L 745	20000	60000	80000
L 746	3000	50000	60000
L 747	10000	90000	110000
L 748	5000	50000	65000
L 749	20000	70000	95000
L 750	12000	40000	55000
L 751	15000	65000	90000
L 752	5000	20000	35000
L 753	25000	125000	150000
L 754	15000	65000	100000
L 755	3000	40000	60000
L 756	34000	140000	175000
L 757	3000	40000	60000
L 758	3000	30000	45000
L 759	20000	140000	180000
L 760	5000	45000	55000
L 761	27000	100000	120000
L 762	5000	30000	50000
L 763	30000	100000	120000
L 764	3000	35000	45000
L 765	53000	160000	185000
L 766	8000	100000	120000
L 767	15000	65000	80000
L 768	16000	100000	170000
L 769	10000	145000	190000
L 770	3000	50000	70000
L 771	23000	120000	140000
L 772	18000	75000	100000
L 773	6000	30000	45000
L 774	3000	55000	70000
L 775	10000	55000	70000
L 776	5000	86000	111000
L 777	3000	45000	60000
L 778	3000	35000	45000
L 779	3000	20000	30000
L 780	5000	40000	55000
L 781	50000	140000	180000
L 782	12000	60000	75000
L 783	17000	80000	100000
L 784	5000	55000	70000
L 785	24000	75000	100000
L 786	34000	125000	150000
L 787	5000	24000	30000
L 788	3000	26000	42000
L 789	3000	45000	60000
L 790	19000	165000	200000
L 791	5000	26000	40000
L 792	3000	30000	40000
L 793	20000	60000	75000
L 794	15000	175000	210000
L 795	5000	45000	57000
L 796	18000	80000	95000
L 797	5000	45000	65000
L 798	3000	45000	60000
L 799	22000	130000	165000
L 800	5000	34000	50000
L 801	10000	100000	115000
L 802	20000	155000	190000
L 803	3000	45000	80000
L 804	9000	60000	80000
L 805	32000	100000	130000
L 806	3000	130000	150000
L 807	15000	145000	180000
L 808	5000	15000	25000
L 809	3000	35000	60000
L 810	12000	45000	60000
L 811	3000	45000	60000
L 812	18000	165000	200000
L 813	3000	35000	50000
L 814	12000	75000	90000
L 815	12000	90000	110000
L 816	3000	120000	150000
L 817	3000	27000	35000
L 818	3000	40000	50000
L 819	3000	70000	85000
L 820	12000	130000	160000
L 821	3000	45000	60000
L 822	19000	50000	70000
L 823	3000	80000	110000
L 824	25000	145000	190000
L 825	14000	50000	65000
L 826	3000	20000	25000
L 827	5000	40000	50000
L 828	3000	80000	100000
L 829	9000	100000	120000
L 830	20000	165000	200000
L 831	5000	40000	60000
L 832	12000	60000	80000
L 833	20000	80000	100000
L 834	20000	65000	80000
L 835	3000	55000	70000
L 836	24000	65000	80000
L 837	3000	40000	50000
L 838	5000	75000	100000
L 839	8000	45000	60000
L 840	10000	75000	100000
L 841	3000	65000	80000
L 842	3000	30000	50000
L 843	5000	15000	20000
L 844	33000	130000	160000
L 845	25000	110000	140000
L 846	10000	150000	180000
L 847	10000	40000	55000
L 848	10000	35000	50000
L 849	20000	120000	145000
L 850	10000	120000	145000
L 851	10000	30000	50000
L 852	5000	25000	33000
L 853	10000	70000	100000
L 854	25000	150000	180000
L 855	20000	145000	210000
L 856	5000	20000	35000
L 857	10000	34000	45000
L 858	15000	65000	95000
L 859	25000	140000	165000
L 860	17000	60000	75000
L 861	5000	16000	26000
L 862	10000	30000	45000
L 863	25000	175000	215000
L 864	10000	85000	110000
L 865	20000	65000	85000
L 866	36000	55000	70000
L 867	3000	60000	75000
L 868	16000	47000	60000
L 869	5000	15000	25000
L 870	5000	40000	50000
L 871	14000	50000	75000
L 872	10000	80000	100000
L 873	3000	25000	45000
L 874	4000	15000	20000
L 875	35000	60000	75000
L 876	29000	90000	110000
L 877	3000	30000	50000
L 878	3000	25000	30000
L 879	14000	120000	145000
L 880	3000	25000	45000
L 881	5000	20000	30000
L 882	18000	120000	150000
L 883	5000	40000	50000
L 884	37000	100000	125000
L 885	15000	120000	150000
L 886	9000	40000	50000
L 887	12000	40000	50000
L 888	3000	45000	60000
L 889	3000	25000	30000
L 890	3000	55000	70000
L 891	10000	100000	130000
L 892	6000	30000	40000
L 893	15000	45000	60000
L 894	3000	25000	30000
L 895	37000	200000	250000
L 896	21000	80000	100000
L 897	5000	40000	50000
L 898	6000	30000	50000
L 899	22000	75000	100000
L 900	25000	180000	220000
L 901	10000	85000	100000
L 902	30000	75000	100000
L 903	10000	25000	30000
L 904	3000	40000	50000
L 905	22000	75000	100000
L 906	17000	80000	95000
L 907	3000	25000	40000
L 908	50000	95000	120000
L 909	6000	40000	50000
L 910	3000	17000	26000
L 911	5000	20000	35000
L 912	10000	80000	100000
L 913	2000	25000	35000
L 914	5000	100000	125000
L 915	18000	40000	55000
L 916	15000	69000	87000
L 917	5000	60000	75000
L 918	54000	120000	150000
L 919	3000	50000	75000
L 920	26000	90000	120000
L 921	10000	35000	50000
L 922	10000	65000	80000
L 923	3000	29000	37000
L 924	5000	32000	42000
L 925	25000	100000	125000
L 926	3000	35000	75000
L 927	3000	20000	45000
L 928	10000	70000	115000
L 929	19000	45000	70000
L 930	3000	55000	90000
L 931	10000	40000	55000
L 932	20000	90000	120000
L 933	68000	130000	160000
L 934	3000	25000	55000
L 935	5000	40000	90000
L 936	10000	50000	75000
L 937	5000	65000	80000
L 938	20000	80000	110000
L 939	100000	173000	235000
L 940	9000	60000	85000
L 941	3000	70000	100000
L 942	10000	80000	100000
L 943	5000	50000	100000
L 944	18000	50000	70000
L 945	20000	150000	190000
L 946	3000	30000	40000
L 947	12000	40000	50000
L 948	3000	30000	40000
L 949	14000	60000	80000
L 950	22000	125000	150000
L 951	3000	55000	70000
L 952	36000	130000	180000
L 953	3000	25000	35000
L 954	17000	80000	100000
L 955	10000	145000	200000
L 956	15000	60000	100000
L 957	20000	100000	135000
L 958	15000	95000	130000
L 959	3000	55000	85000
L 960	8000	30000	45000
L 961	3000	30000	50000
L 962	10000	80000	120000
L 963	21000	80000	100000
L 964	10000	230000	300000
L 965	3000	85000	100000
L 966	9000	75000	100000
L 967	6000	35000	50000
L 968	5000	45000	60000
L 969	22000	140000	175000
L 970	3000	15000	20000
L 971	12000	60000	75000
L 972	5000	40000	50000
L 973	5000	40000	60000
L 974	10000	50000	75000
L 975	5000	40000	50000
L 976	18000	40000	50000
L 977	3000	50000	80000
L 978	18000	100000	125000
L 979	26000	90000	120000
L 980	5000	40000	50000
L 981	3000	25000	40000
L 982	15000	27000	33000
L 983	5000	40000	50000
L 984	18000	80000	100000
L 985	20000	125000	150000
L 986	5000	45000	60000
L 987	6000	25000	45000
L 988	5000	45000	60000
L 989	6000	23000	30000
L 990	5000	50000	70000
L 991	60000	85000	110000
L 992	5000	50000	75000
L 993	76000	150000	180000
L 994	17000	75000	100000
L 995	8000	20000	27000
L 996	18000	75000	100000
L 997	5000	50000	60000
L 998	5000	65000	80000
L 999	80000	110000	140000
L1000	3000	55000	80000
L1001	5000	35000	45000
L1002	16000	55000	70000
L1003	50000	125000	170000
L1004	20000	60000	75000
L1005	5000	60000	75000
L1006	5000	60000	75000
L1007	3000	25000	40000
L1008	44000	100000	130000
L1009	3000	20000	30000
L1010	14000	50000	60000
L1011	5000	20000	25000
L1012	10000	25000	35000
L1013	5000	12000	20000
L1014	16000	82000	100000
L1015	64000	105000	130000
L1016	9000	45000	60000
L1017	3000	65000	80000
L1018	26000	45000	60000
L1019	20000	50000	63000
L1020	3000	30000	40000
L1021	10000	40000	65000
L1022	5000	21000	30000
L1023	84000	160000	200000
L1024	5000	50000	75000
L1025	20000	60000	80000
L1026	3000	60000	75000
L1027	5000	35000	55000
L1028	70000	130000	155000
L1029	5000	20000	35000
L1030	14000	75000	100000
L1031	5000	50000	80000
L1032	50000	95000	120000
L1033	5000	40000	50000
L1034	6000	20000	30000
L1035	17000	60000	90000
L1036	35000	95000	125000
L1037	6000	80000	130000
L1038	5000	35000	55000
L1039	16000	40000	60000
L1040	5000	40000	50000
L1041	10000	50000	70000
L1042	5000	50000	60000
L1043	3000	20000	45000
L1044	25000	80000	100000
L1045	5000	40000	50000
L1046	15000	60000	75000
L1047	12000	75000	100000
L1048	40000	75000	90000
L1049	22000	125000	150000
L1050	5000	30000	55000
L1051	5000	20000	30000
L1052	5000	40000	50000
L1053	6000	50000	75000
L1054	64000	103000	133000
L1055	10000	55000	75000
L1056	5000	30000	40000
L1057	3000	20000	30000
L1058	5000	50000	75000
L1059	8000	55000	75000
L1060	20000	85000	110000
L1061	3000	35000	45000
L1062	3000	15000	20000
L1063	100000	125000	150000
L1064	5000	65000	80000
L1065	5000	30000	40000
L1066	2000	10000	15000
L1067	20000	35000	55000
L1068	5000	25000	30000
L1069	3000	20000	50000
L1070	18000	45000	55000
L1071	50000	135000	170000
L1072	5000	20000	35000
L1073	16000	45000	65000
L1074	24000	45000	60000
L1075	36000	80000	100000
L1076	3000	25000	37000
L1077	32000	115000	145000
