L   1	[{"item":2,"quantity":15}]
L 163	[{"item": 17, "quantity": 83}, {"item": 19, "quantity": 12}, {"item": 16, "quantity": 7}]
L 165	[{"item": 16, "quantity": 11}]
L 168	[{"item": 16, "quantity": 8}, {"item": 20, "quantity": 8}, {"item": 3, "quantity": 8}]
L 172	[{"item": 19, "quantity": 28}, {"item": 17, "quantity": 15}]
L 174	[{"item": 17, "quantity": 67}, {"item": 19, "quantity": 19}]
L 177	[{"item": 16, "quantity": 15}, {"item": 19, "quantity": 14}]
L 179	[{"item": 16, "quantity": 17}, {"item": 17, "quantity": 120}]
L 182	[{"item": 19, "quantity": 36}, {"item": 1, "quantity": 10}]
L 184	[{"item": 4, "quantity": 40}, {"item": 19, "quantity": 29}, {"item": 17, "quantity": 24}]
L 187	[{"item": 16, "quantity": 13}]
L 189	[{"item": 17, "quantity": 71}, {"item": 16, "quantity": 25}]
L 191	[{"item": 16, "quantity": 9}, {"item": 7, "quantity": 15}, {"item": 17, "quantity": 36}]
L 196	[{"item": 16, "quantity": 24}, {"item": 17, "quantity": 56}, {"item": 7, "quantity": 20}]
L 199	[{"item": 16, "quantity": 150}]
L 202	[{"item": 17, "quantity": 34}, {"item": 16, "quantity": 11}]
L 205	[{"item": 19, "quantity": 30}, {"item": 17, "quantity": 80}, {"item": 16, "quantity": 10}]
L 208	[{"item": 19, "quantity": 64}]
L 211	[{"item": 17, "quantity": 55}, {"item": 7, "quantity": 10}]
L 214	[{"item": 17, "quantity": 162}, {"item": 2, "quantity": 142}, {"item": 5, "quantity": 142}]
L 216	[{"item": 17, "quantity": 45}]
L 217	[{"item": 17, "quantity": 26}, {"item": 16, "quantity": 20}]
L 219	[{"item": 16, "quantity": 13}]
L 221	[{"item": 20, "quantity": 18}, {"item": 19, "quantity": 25}]
L 223	[{"item": 19, "quantity": 40}]
L 225	[{"item": 17, "quantity": 70}, {"item": 19, "quantity": 22}, {"item": 16, "quantity": 22}]
L 227	[{"item": 17, "quantity": 46}, {"item": 19, "quantity": 46}]
L 230	[{"item": 17, "quantity": 90}, {"item": 19, "quantity": 20}]
L 232	[{"item": 19, "quantity": 14}, {"item": 16, "quantity": 24}]
L 234	[{"item": 9, "quantity": 3}, {"item": 17, "quantity": 32}, {"item": 16, "quantity": 4}]
L 236	[{"item": 19, "quantity": 34}]
L 238	[{"item": 19, "quantity": 20}]
L 240	[{"item": 17, "quantity": 114}]
L 242	[{"item": 17, "quantity": 40}]
L 245	[{"item": 17, "quantity": 63}, {"item": 16, "quantity": 13}, {"item": 19, "quantity": 11}]
L 246	[{"item": 21, "quantity": 13}]
L 249	[{"item": 17, "quantity": 96}]
L 250	[{"item": 17, "quantity": 91}]
L 253	[{"item": 17, "quantity": 72}]
L 255	[{"item": 17, "quantity": 105}]
L 258	[{"item": 16, "quantity": 24}]
L 260	[{"item": 17, "quantity": 107}]
L 261	[{"item": 32, "quantity": 14}, {"item": 17, "quantity": 65}]
L 264	[{"item": 21, "quantity": 7}]
L 267	[{"item": 32, "quantity": 29}, {"item": 19, "quantity": 45}]
L 269	[{"item": 7, "quantity": 20}]
L 270	[{"item": 17, "quantity": 90}, {"item": 2, "quantity": 90}]
L 273	[{"item": 32, "quantity": 12}, {"item": 17, "quantity": 46}]
L 274	[{"item": 19, "quantity": 110}]
L 276	[{"item": 32, "quantity": 80}, {"item": 19, "quantity": 40}]
L 279	[{"item": 32, "quantity": 75}]
L 281	[{"item": 19, "quantity": 19}, {"item": 17, "quantity": 19}]
L 283	[{"item": 17, "quantity": 50}]
L 285	[{"item": 19, "quantity": 42}, {"item": 17, "quantity": 48}]
L 287	[{"item": 21, "quantity": 8}]
L 288	[{"item": 19, "quantity": 30}, {"item": 32, "quantity": 30}]
L 291	[{"item": 32, "quantity": 83}]
L 294	[{"item": 19, "quantity": 65}]
L 295	[{"item": 17, "quantity": 75}, {"item": 32, "quantity": 15}]
L 298	[{"item": 16, "quantity": 35}, {"item": 32, "quantity": 35}]
L 299	[{"item": 19, "quantity": 40}]
L 302	[{"item": 32, "quantity": 145}]
L 304	[{"item": 19, "quantity": 24}, {"item": 16, "quantity": 24}]
L 305	[{"item": 17, "quantity": 76}, {"item": 32, "quantity": 50}]
L 309	[{"item": 17, "quantity": 142}]
L 310	[{"item": 17, "quantity": 80}, {"item": 19, "quantity": 28}]
L 312	[{"item": 17, "quantity": 85}, {"item": 32, "quantity": 43}]
L 314	[{"item": 32, "quantity": 100}]
L 316	[{"item": 19, "quantity": 28}]
L 317	[{"item": 17, "quantity": 90}, {"item": 19, "quantity": 35}]
L 320	[{"item": 17, "quantity": 80}, {"item": 32, "quantity": 100}]
L 323	[{"item": 3, "quantity": 16}]
L 324	[{"item": 17, "quantity": 64}, {"item": 19, "quantity": 14}]
L 327	[{"item": 19, "quantity": 22}, {"item": 32, "quantity": 24}]
L 328	[{"item": 4, "quantity": 50}]
L 330	[{"item": 17, "quantity": 117}, {"item": 32, "quantity": 135}]
L 332	[{"item": 32, "quantity": 72}, {"item": 17, "quantity": 90}]
L 334	[{"item": 17, "quantity": 140}]
L 335	[{"item": 21, "quantity": 20}]
L 337	[{"item": 17, "quantity": 184}]
L 338	[{"item": 6, "quantity": 50}]
L 341	[{"item": 32, "quantity": 100}]
L 342	[{"item": 21, "quantity": 10}]
L 345	[{"item": 32, "quantity": 80}, {"item": 17, "quantity": 86}]
L 346	[{"item": 17, "quantity": 80}, {"item": 1, "quantity": 20}]
L 349	[{"item": 32, "quantity": 227}, {"item": 1, "quantity": 120}]
L 350	[{"item": 21, "quantity": 10}]
L 351	[{"item": 25, "quantity": 36}]
L 352	[{"item": 25, "quantity": 68}]
L 353	[{"item": 25, "quantity": 27}]
L 355	[{"item": 17, "quantity": 120}, {"item": 20, "quantity": 70}]
L 357	[{"item": 32, "quantity": 45}, {"item": 19, "quantity": 26}]
L 358	[{"item": 21, "quantity": 10}]
L 361	[{"item": 3, "quantity": 31}]
L 362	[{"item": 25, "quantity": 78}]
L 363	[{"item": 19, "quantity": 26}]
L 365	[{"item": 19, "quantity": 50}, {"item": 17, "quantity": 70}]
L 366	[{"item": 25, "quantity": 90}]
L 370	[{"item": 32, "quantity": 35}, {"item": 17, "quantity": 100}]
L 373	[{"item": 25, "quantity": 64}]
L 375	[{"item": 17, "quantity": 110}]
L 376	[{"item": 2, "quantity": 25}, {"item": 16, "quantity": 25}]
L 378	[{"item": 25, "quantity": 30}]
L 379	[{"item": 25, "quantity": 40}, {"item": 32, "quantity": 60}, {"item": 17, "quantity": 70}]
L 382	[{"item": 25, "quantity": 63}]
L 385	[{"item": 25, "quantity": 42}, {"item": 17, "quantity": 40}]
L 387	[{"item": 32, "quantity": 104}]
L 388	[{"item": 25, "quantity": 100}]
L 391	[{"item": 19, "quantity": 20}]
L 393	[{"item": 17, "quantity": 22}]
L 398	[{"item": 2, "quantity": 40}, {"item": 6, "quantity": 40}, {"item": 5, "quantity": 40}]
L 402	[{"item": 25, "quantity": 132}]
L 404	[{"item": 17, "quantity": 100}]
L 405	[{"item": 17, "quantity": 81}, {"item": 8, "quantity": 10}]
L 410	[{"item": 32, "quantity": 80}]
L 411	[{"item": 19, "quantity": 24}, {"item": 32, "quantity": 42}]
L 414	[{"item": 19, "quantity": 20}]
L 418	[{"item": 17, "quantity": 125}]
L 420	[{"item": 21, "quantity": 8}]
L 423	[{"item": 1, "quantity": 15}, {"item": 3, "quantity": 15}]
L 424	[{"item": 32, "quantity": 36}, {"item": 3, "quantity": 6}]
L 429	[{"item": 25, "quantity": 93}]
L 434	[{"item": 21, "quantity": 6}]
L 438	[{"item": 16, "quantity": 30}]
L 439	[{"item": 32, "quantity": 76}, {"item": 25, "quantity": 64}]
L 441	[{"item": 25, "quantity": 56}, {"item": 22, "quantity": 1}]
L 443	[{"item": 22, "quantity": 2}]
L 446	[{"item": 17, "quantity": 20}]
L 450	[{"item": 32, "quantity": 70}, {"item": 17, "quantity": 70}, {"item": 19, "quantity": 40}]
L 451	[{"item": 25, "quantity": 70}]
L 454	[{"item": 25, "quantity": 195}]
L 457	[{"item": 25, "quantity": 64}, {"item": 32, "quantity": 78}]
L 461	[{"item": 19, "quantity": 20}]
L 462	[{"item": 22, "quantity": 1}, {"item": 32, "quantity": 76}]
L 465	[{"item": 25, "quantity": 51}, {"item": 17, "quantity": 59}, {"item": 32, "quantity": 39}]
L 469	[{"item": 32, "quantity": 153}, {"item": 22, "quantity": 2}]
L 472	[{"item": 25, "quantity": 80}]
L 475	[{"item": 25, "quantity": 115}]
L 476	[{"item": 25, "quantity": 63}]
L 479	[{"item": 19, "quantity": 28}, {"item": 22, "quantity": 2}]
L 480	[{"item": 32, "quantity": 42}]
L 483	[{"item": 2, "quantity": 44}]
L 486	[{"item": 25, "quantity": 27}]
L 487	[{"item": 25, "quantity": 32}, {"item": 17, "quantity": 21}]
L 491	[{"item": 25, "quantity": 32}, {"item": 19, "quantity": 7}]
L 492	[{"item": 32, "quantity": 60}, {"item": 17, "quantity": 125}]
L 494	[{"item": 25, "quantity": 85}]
L 496	[{"item": 2, "quantity": 95}, {"item": 5, "quantity": 95}, {"item": 32, "quantity": 95}]
L 498	[{"item": 16, "quantity": 5}]
L 502	[{"item": 32, "quantity": 60}, {"item": 17, "quantity": 152}]
L 504	[{"item": 17, "quantity": 39}]
L 507	[{"item": 17, "quantity": 77}, {"item": 9, "quantity": 7}]
L 509	[{"item": 2, "quantity": 50}, {"item": 5, "quantity": 50}]
L 510	[{"item": 16, "quantity": 14}, {"item": 17, "quantity": 86}]
L 513	[{"item": 25, "quantity": 32}]
L 516	[{"item": 5, "quantity": 100}, {"item": 2, "quantity": 100}, {"item": 4, "quantity": 100}]
L 517	[{"item": 16, "quantity": 25}, {"item": 20, "quantity": 40}]
L 521	[{"item": 21, "quantity": 10}, {"item": 2, "quantity": 60}]
L 522	[{"item": 3, "quantity": 3}, {"item": 19, "quantity": 22}]
L 526	[{"item": 25, "quantity": 30}]
L 528	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 18}]
L 530	[{"item": 17, "quantity": 40}]
L 532	[{"item": 30, "quantity": 1}]
L 533	[{"item": 17, "quantity": 75}]
L 536	[{"item": 17, "quantity": 18}]
L 539	[{"item": 25, "quantity": 80}]
L 541	[{"item": 17, "quantity": 72}, {"item": 9, "quantity": 5}]
L 544	[{"item": 5, "quantity": 65}, {"item": 2, "quantity": 65}]
L 545	[{"item": 25, "quantity": 75}]
L 547	[{"item": 17, "quantity": 36}, {"item": 30, "quantity": 1}, {"item": 25, "quantity": 16}]
L 548	[{"item": 32, "quantity": 30}]
L 552	[{"item": 3, "quantity": 16}, {"item": 1, "quantity": 16}]
L 553	[{"item": 25, "quantity": 70}, {"item": 6, "quantity": 90}]
L 555	[{"item": 19, "quantity": 45}, {"item": 17, "quantity": 71}]
L 558	[{"item": 19, "quantity": 25}, {"item": 3, "quantity": 14}]
L 559	[{"item": 21, "quantity": 20}]
L 562	[{"item": 30, "quantity": 2}, {"item": 19, "quantity": 16}]
L 565	[{"item": 25, "quantity": 45}]
L 566	[{"item": 3, "quantity": 30}, {"item": 19, "quantity": 20}]
L 570	[{"item": 25, "quantity": 80}]
L 572	[{"item": 25, "quantity": 48}]
L 574	[{"item": 19, "quantity": 8}, {"item": 17, "quantity": 52}]
L 577	[{"item": 8, "quantity": 36}, {"item": 19, "quantity": 36}]
L 578	[{"item": 17, "quantity": 100}]
L 581	[{"item": 32, "quantity": 40}, {"item": 25, "quantity": 33}]
L 584	[{"item": 25, "quantity": 50}]
L 586	[{"item": 17, "quantity": 140}]
L 587	[{"item": 25, "quantity": 52}]
L 589	[{"item": 32, "quantity": 49}, {"item": 25, "quantity": 87}]
L 590	[{"item": 32, "quantity": 60}]
L 599	[{"item": 8, "quantity": 20}, {"item": 17, "quantity": 60}]
L 609	[{"item": 17, "quantity": 78}]
L 613	[{"item": 16, "quantity": 14}, {"item": 25, "quantity": 67}]
L 615	[{"item": 2, "quantity": 95}, {"item": 5, "quantity": 95}]
L 628	[{"item": 17, "quantity": 56}, {"item": 21, "quantity": 4}]
L 633	[{"item": 2, "quantity": 50}, {"item": 4, "quantity": 50}, {"item": 8, "quantity": 15}]
L 638	[{"item": 1, "quantity": 50}, {"item": 6, "quantity": 50}]
L 639	[{"item": 9, "quantity": 2}, {"item": 8, "quantity": 2}, {"item": 7, "quantity": 2}]
L 640	[{"item": 8, "quantity": 4}]
L 647	[{"item": 17, "quantity": 48}, {"item": 16, "quantity": 12}]
L 650	[{"item": 2, "quantity": 135}, {"item": 5, "quantity": 90}]
L 654	[{"item": 22, "quantity": 2}, {"item": 17, "quantity": 24}]
L 655	[{"item": 17, "quantity": 30}, {"item": 25, "quantity": 40}]
L 656	[{"item": 8, "quantity": 35}, {"item": 17, "quantity": 35}]
L 662	[{"item": 6, "quantity": 50}, {"item": 4, "quantity": 50}, {"item": 1, "quantity": 50}]
L 666	[{"quantity": 666, "item": 2}]
L 669	[{"item": 1, "quantity": 100}, {"item": 6, "quantity": 100}, {"item": 2, "quantity": 100}]
L 670	[{"item": 8, "quantity": 20}, {"item": 7, "quantity": 10}]
L 677	[{"item": 17, "quantity": 20}, {"item": 19, "quantity": 20}]
L 686	[{"item": 8, "quantity": 20}]
L 689	[{"item": 1, "quantity": 72}, {"item": 4, "quantity": 72}]
L 693	[{"item": 6, "quantity": 50}, {"item": 4, "quantity": 50}]
L 694	[{"item": 9, "quantity": 9}, {"item": 6, "quantity": 70}, {"item": 4, "quantity": 70}]
L 698	[{"item": 17, "quantity": 120}]
L 699	[{"item": 2, "quantity": 100}, {"item": 8, "quantity": 20}]
L 701	[{"item": 25, "quantity": 134}]
L 702	[{"item": 19, "quantity": 29}, {"item": 17, "quantity": 39}]
L 704	[{"item": 25, "quantity": 120}, {"item": 30, "quantity": 2}]
L 705	[{"item": 9, "quantity": 1}, {"item": 8, "quantity": 10}, {"item": 7, "quantity": 5}]
L 712	[{"item": 2, "quantity": 75}, {"item": 1, "quantity": 75}, {"item": 6, "quantity": 75}]
L 717	[{"item": 17, "quantity": 20}, {"item": 25, "quantity": 120}]
L 726	[{"item": 25, "quantity": 65}]
L 730	[{"item": 2, "quantity": 50}, {"item": 6, "quantity": 60}, {"item": 4, "quantity": 70}]
L 731	[{"item": 17, "quantity": 12}]
L 741	[{"item": 1, "quantity": 68}, {"item": 2, "quantity": 68}, {"item": 6, "quantity": 68}]
L 746	[{"item": 8, "quantity": 20}]
L 749	[{"item": 8, "quantity": 20}]
L 751	[{"item": 17, "quantity": 36}, {"item": 22, "quantity": 3}, {"item": 2, "quantity": 140}]
L 753	[{"item": 9, "quantity": 5}]
L 761	[{"item": 7, "quantity": 5}, {"item": 8, "quantity": 25}]
L 762	[{"item": 6, "quantity": 100}, {"item": 2, "quantity": 100}]
L 764	[{"item": 6, "quantity": 25}, {"item": 2, "quantity": 30}, {"item": 1, "quantity": 35}]
L 777	[{"item": 9, "quantity": 2}, {"item": 17, "quantity": 54}]
L 779	[{"quantity": 20, "item": 9}]
L 783	[{"item": 9, "quantity": 8}, {"item": 25, "quantity": 98}]
L 785	[{"item": 9, "quantity": 7}]
L 792	[{"item": 19, "quantity": 25}]
L 806	[{"item": 6, "quantity": 110}, {"item": 2, "quantity": 110}]
L 807	[{"item": 7, "quantity": 15}, {"item": 8, "quantity": 15}]
L 819	[{"quantity": 99, "item": 1}, {"quantity": 10, "item": 7}]
L 820	[{"quantity": 13, "item": 7}, {"item": 9, "quantity": 7}]
L 821	[{"quantity": 20, "item": 8}, {"item": 7, "quantity": 15}, {"item": 9, "quantity": 5}]
L 824	[{"item": 8, "quantity": 30}]
L 829	[{"item": 25, "quantity": 50}, {"item": 17, "quantity": 60}]
L 834	[{"item": 9, "quantity": 6}]
L 842	[{"quantity": 10, "item": 9}]
L 848	[{"quantity": 18, "item": 7}]
L 859	[{"quantity": 10, "item": 7}, {"quantity": 20, "item": 8}]
L 860	[{"quantity": 25, "item": 7}]
L 870	[{"item": 7, "quantity": 10}, {"item": 9, "quantity": 5}]
L 883	[{"quantity": 50, "item": 5}]
L 885	[{"quantity": 18, "item": 8}]
L 889	[{"quantity": 15, "item": 7}]
L 894	[{"quantity": 55, "item": 5}, {"quantity": 14, "item": 8}, {"item": 7, "quantity": 7}]
L 899	[{"item": 18, "quantity": 8}, {"item": 2, "quantity": 250}, {"item": 4, "quantity": 250}]
L 900	[{"item": 17, "quantity": 66}, {"item": 16, "quantity": 10}]
L 901	[{"item": 2, "quantity": 75}, {"item": 5, "quantity": 75}, {"item": 4, "quantity": 75}]
L 904	[{"quantity": 13, "item": 7}, {"quantity": 8, "item": 8}, {"quantity": 61, "item": 2}]
L 911	[{"item": 2, "quantity": 70}, {"item": 19, "quantity": 35}]
L 916	[{"quantity": 9, "item": 8}, {"quantity": 4, "item": 7}, {"quantity": 3, "item": 9}]
L 922	[{"quantity": 14, "item": 7}, {"quantity": 9, "item": 9}, {"quantity": 18, "item": 8}]
L 927	[{"quantity": 7, "item": 7}, {"quantity": 7, "item": 8}]
L 935	[{"item": 2, "quantity": 182}, {"item": 6, "quantity": 182}, {"item": 8, "quantity": 36}]
L 951	[{"item": 1, "quantity": 79}]
L 968	[{"quantity": 4, "item": 9}]
L 969	[{"quantity": 32, "item": 5}, {"quantity": 32, "item": 6}]
L 971	[{"quantity": 5, "item": 3}]
L 972	[{"quantity": 9, "item": 3}]
L 976	[{"quantity": 2, "item": 8}, {"quantity": 2, "item": 9}]
L 979	[{"item": 19, "quantity": 24}, {"item": 16, "quantity": 24}]
L 983	[{"item": 19, "quantity": 44}]
L 985	[{"item": 9, "quantity": 1}, {"item": 1, "quantity": 50}, {"item": 2, "quantity": 50}]
L 988	[{"quantity": 12, "item": 9}]
L 993	[{"quantity": 81, "item": 4}, {"quantity": 81, "item": 5}, {"quantity": 4, "item": 9}]
L1000	[{"item": 6, "quantity": 500}, {"item": 2, "quantity": 500}, {"item": 4, "quantity": 500}]
L1006	[{"item": 8, "quantity": 45}]
L1009	[{"quantity": 24, "item": 8}]
L1022	[{"item": 5, "quantity": 99}]
L1030	[{"item": 8, "quantity": 8}]
L1039	[{"quantity": 80, "item": 1}, {"quantity": 80, "item": 6}, {"quantity": 80, "item": 2}]
L1043	[{"quantity": 99, "item": 4}]
L1044	[{"item": 19, "quantity": 20}]
L1045	[{"item": 19, "quantity": 28}, {"item": 20, "quantity": 25}]
L1055	[{"item": 24, "quantity": 3}, {"item": 25, "quantity": 21}]
L1057	[{"quantity": 8, "item": 9}]
L1060	[{"quantity": 10, "item": 8}, {"quantity": 5, "item": 7}]
L1066	[{"item": 9, "quantity": 13}]
L1072	[{"quantity": 20, "item": 1}]
L1077	[{"quantity": 4, "item": 9}, {"quantity": 100, "item": 6}, {"quantity": 100, "item": 2}]
L1088	[{"item": 19, "quantity": 27}]
L1094	[{"item": 19, "quantity": 20}, {"item": 17, "quantity": 18}, {"item": 9, "quantity": 4}]
L1103	[{"quantity": 12, "item": 3}]
L1108	[{"quantity": 500, "item": 6}, {"quantity": 500, "item": 2}]
L1111	[{"item": 3, "quantity": 28}]
L1114	[{"quantity": 9, "item": 3}]
L1117	[{"quantity": 10, "item": 3}]
L1127	[{"item": 8, "quantity": 14}, {"item": 7, "quantity": 10}, {"item": 2, "quantity": 70}]
L1135	[{"item": 24, "quantity": 8}, {"item": 26, "quantity": 49}]
L1138	[{"item": 8, "quantity": 11}, {"item": 1, "quantity": 59}, {"item": 9, "quantity": 4}]
L1141	[{"item": 3, "quantity": 12}]
L1154	[{"quantity": 11, "item": 3}]
L1164	[{"quantity": 4, "item": 18}, {"item": 17, "quantity": 20}]
L1168	[{"quantity": 300, "item": 5}]
L1172	[{"quantity": 10, "item": 7}]
L1174	[{"item": 1, "quantity": 10}]
L1186	[{"quantity": 99, "item": 1}]
L1187	[{"item": 18, "quantity": 7}]
L1189	[{"quantity": 8, "item": 7}, {"quantity": 8, "item": 8}, {"item": 2, "quantity": 122}]
L1193	[{"quantity": 18, "item": 25}]
L1200	[{"quantity": 5, "item": 9}]
L1201	[{"quantity": 35, "item": 8}]
L1204	[{"item": 8, "quantity": 30}]
L1206	[{"item": 4, "quantity": 50}, {"item": 2, "quantity": 50}]
L1212	[{"quantity": 10, "item": 7}, {"quantity": 50, "item": 5}, {"item": 9, "quantity": 9}]
L1225	[{"item": 9, "quantity": 5}, {"item": 13, "quantity": 1}]
L1230	[{"item": 9, "quantity": 36}]
L1237	[{"item": 17, "quantity": 69}]
L1239	[{"item": 3, "quantity": 20}]
L1248	[{"quantity": 11, "item": 3}]
L1258	[{"quantity": 20, "item": 3}]
L1277	[{"item": 19, "quantity": 50}, {"item": 7, "quantity": 15}]
L1279	[{"item": 18, "quantity": 3}, {"item": 2, "quantity": 100}, {"item": 6, "quantity": 100}]
L1280	[{"quantity": 12, "item": 7}, {"quantity": 16, "item": 8}, {"item": 17, "quantity": 119}]
L1291	[{"item": 17, "quantity": 53}]
L1299	[{"quantity": 17, "item": 3}]
L1301	[{"quantity": 5, "item": 9}]
L1304	[{"quantity": 79, "item": 17}, {"item": 19, "quantity": 24}]
L1317	[{"item": 25, "quantity": 27}]
L1321	[{"item": 8, "quantity": 15}]
L1325	[{"item": 5, "quantity": 36}, {"item": 2, "quantity": 36}, {"item": 6, "quantity": 36}]
L1329	[{"item": 19, "quantity": 54}]
L1331	[{"quantity": 8, "item": 9}, {"item": 8, "quantity": 10}, {"item": 7, "quantity": 10}]
L1345	[{"quantity": 13, "item": 3}]
L1353	[{"quantity": 15, "item": 8}, {"quantity": 6, "item": 7}, {"quantity": 3, "item": 9}]
L1357	[{"quantity": 18, "item": 8}]
L1365	[{"quantity": 100, "item": 2}]
L1369	[{"quantity": 100, "item": 17}]
L1371	[{"quantity": 2, "item": 13}, {"quantity": 100, "item": 2}, {"quantity": 100, "item": 6}]
L1375	[{"quantity": 90, "item": 5}, {"quantity": 10, "item": 7}, {"item": 2, "quantity": 90}]
L1380	[{"item": 25, "quantity": 66}]
L1385	[{"item": 17, "quantity": 138}]
L1389	[{"item": 17, "quantity": 85}]
L1394	[{"item": 25, "quantity": 40}]
L1401	[{"quantity": 25, "item": 9}, {"quantity": 15, "item": 7}]
L1406	[{"quantity": 35, "item": 7}]
L1412	[{"quantity": 12, "item": 3}]
L1415	[{"quantity": 30, "item": 8}]
L1420	[{"item": 2, "quantity": 100}, {"item": 6, "quantity": 100}, {"item": 7, "quantity": 20}]
L1435	[{"quantity": 1, "item": 13}]
L1437	[{"item": 25, "quantity": 28}]
L1439	[{"item": 3, "quantity": 3}]
L1447	[{"item": 17, "quantity": 18}, {"item": 16, "quantity": 11}, {"item": 19, "quantity": 11}]
L1450	[{"item": 25, "quantity": 100}]
L1454	[{"item": 18, "quantity": 1}, {"item": 16, "quantity": 8}, {"item": 17, "quantity": 26}]
L1457	[{"quantity": 30, "item": 17}]
L1460	[{"quantity": 14, "item": 16}, {"quantity": 31, "item": 19}, {"quantity": 46, "item": 17}]
L1464	[{"item": 19, "quantity": 39}, {"item": 18, "quantity": 3}]
L1466	[{"quantity": 95, "item": 17}]
L1471	[{"quantity": 25, "item": 19}, {"item": 17, "quantity": 85}]
L1472	[{"quantity": 1, "item": 18}, {"item": 25, "quantity": 76}, {"item": 32, "quantity": 28}]
L1475	[{"quantity": 12, "item": 16}, {"quantity": 28, "item": 19}, {"quantity": 8, "item": 7}]
L1476	[{"quantity": 81, "item": 7}, {"quantity": 81, "item": 5}, {"quantity": 81, "item": 6}]
L1477	[{"quantity": 45, "item": 19}, {"quantity": 34, "item": 17}]
L1480	[{"quantity": 75, "item": 17}]
L1483	[{"item": 9, "quantity": 7}, {"item": 8, "quantity": 7}, {"item": 7, "quantity": 7}]
L1490	[{"quantity": 15, "item": 16}, {"quantity": 25, "item": 17}, {"quantity": 35, "item": 19}]
L1491	[{"quantity": 15, "item": 8}, {"item": 9, "quantity": 2}, {"item": 17, "quantity": 55}]
L1499	[{"item": 18, "quantity": 7}, {"item": 8, "quantity": 50}, {"item": 9, "quantity": 7}]
L1502	[{"item": 26, "quantity": 35}]
L1506	[{"item": 26, "quantity": 107}, {"item": 17, "quantity": 80}]
L1513	[{"quantity": 2, "item": 18}, {"quantity": 9, "item": 8}, {"item": 19, "quantity": 34}]
L1517	[{"item": 18, "quantity": 1}, {"item": 17, "quantity": 48}]
L1519	[{"item": 16, "quantity": 13}, {"item": 17, "quantity": 30}, {"item": 19, "quantity": 11}]
L1522	[{"quantity": 1, "item": 18}, {"quantity": 49, "item": 17}]
L1526	[{"item": 25, "quantity": 70}]
