L  17	[0,4]
L 925	[0, 4]
L 928	[1, 1]
L 930	[2, 2]
L 932	[1, 1]
L 934	[0, 5]
L 939	[0, 9]
L 942	[7, 7]
L 943	[0, 3]
L 955	[0, 2]
L 959	[0, 5]
L 962	[2, 2]
L 963	[0, 2]
L 964	[0, 2]
L 974	[0, 1]
L 980	[1, 1]
L 982	[0, 7]
L 987	[0, 3]
L 991	[0, 3]
L 992	[0, 8]
L 999	[0, 4]
L1001	[0, 6]
L1005	[0, 2]
L1010	[3, 0]
L1013	[0, 4]
L1024	[0, 5]
L1025	[0, 4]
L1027	[2, 2]
L1031	[0, 3]
L1034	[0, 3]
L1037	[0, 12]
L1038	[0, 1]
L1041	[1, 1]
L1049	[0, 2]
L1054	[2, 1]
L1056	[0, 3]
L1059	[1, 1]
L1065	[0, 2]
L1067	[1, 1]
L1073	[0, 4]
L1075	[0, 4]
L1079	[0, 1]
L1082	[0, 3]
L1085	[2, 2]
L1089	[0, 4]
L1092	[0, 1]
L1097	[0, 2]
L1099	[0, 2]
L1102	[0, 4]
L1110	[0, 3]
L1120	[2, 3]
L1122	[0, 1]
L1123	[0, 2]
L1126	[0, 1]
L1129	[0, 1]
L1130	[3, 3]
L1137	[0, 4]
L1142	[0, 3]
L1144	[2, 2]
L1147	[0, 4]
L1148	[0, 8]
L1151	[0, 1]
L1153	[2, 2]
L1161	[3, 2]
L1162	[1, 1]
L1165	[0, 4]
L1169	[0, 4]
L1173	[2, 2]
L1179	[0, 8]
L1184	[3, 3]
L1188	[0, 3]
L1192	[0, 4]
L1197	[0, 2]
L1203	[0, 3]
L1210	[6, 6]
L1213	[0, 2]
L1215	[0, 1]
L1216	[0, 6]
L1223	[0, 4]
L1232	[0, 1]
L1233	[2, 2]
L1235	[0, 4]
L1240	[0, 1]
L1244	[0, 2]
L1247	[0, 2]
L1250	[0, 2]
L1254	[2, 2]
L1259	[0, 6]
L1261	[0, 1]
L1262	[0, 1]
L1264	[0, 8]
L1271	[2, 2]
L1274	[0, 8]
L1278	[0, 2]
L1283	[0, 2]
L1286	[0, 1]
L1289	[0, 4]
L1294	[0, 4]
L1296	[0, 2]
L1300	[0, 5]
L1302	[0, 1]
L1306	[0, 1]
L1309	[1, 1]
L1312	[3]
L1315	[0, 5]
L1316	[0, 1]
L1320	[0, 6]
L1322	[0, 2]
L1323	[0, 3]
L1327	[1, 1]
L1330	[1, 1]
L1333	[1, 0]
L1338	[1, 2]
L1346	[0, 2]
L1347	[0, 4]
L1352	[0, 1]
L1354	[1, 1]
L1355	[2, 2]
L1358	[0, 6]
L1359	[0, 3]
L1360	[0, 3]
L1362	[1, 1]
L1363	[0, 5]
L1366	[3, 3]
L1374	[1, 2]
L1377	[0, 5]
L1379	[0, 4]
L1381	[0, 4]
L1383	[0, 7]
L1388	[1]
L1393	[0, 9]
L1396	[0, 1]
L1399	[0, 9]
L1400	[0, 4]
L1403	[0, 7]
L1405	[0, 4]
L1408	[0, 4]
L1410	[0, 3]
L1413	[0, 1]
L1418	[0, 7]
L1429	[0, 3]
L1430	[0, 2]
L1431	[0, 10]
L1433	[0, 3]
L1441	[2, 2]
L1442	[1, 1]
L1443	[1, 1]
L1446	[0, 6]
L1449	[0, 4]
L1453	[0, 8]
L1456	[0, 2]
L1459	[0, 3]
L1463	[0, 4]
L1465	[0, 5]
L1468	[0, 4]
L1470	[0, 3]
L1474	[0, 5]
L1484	[2, 1]
L1487	[0, 2]
L1492	[1, 1]
L1494	[1, 1]
L1496	[0, 1]
L1498	[0, 2]
L1503	[0, 9]
L1505	[0, 2]
L1507	[0, 3]
L1509	[0, 2]
L1512	[0, 1]
L1514	[0, 4]
L1515	[0, 8]
L1521	[0, 2]
L1528	[2, 4]
L1529	[0, 6]
L1532	[1, 0]
L1535	[0, 2]
L1538	[0, 10]
L1539	[0, 2]
L1541	[1, 1]
L1545	[0, 6]
L1550	[0, 6]
L1552	[0, 4]
L1553	[0, 3]
L1557	[0, 6]
L1561	[3, 3]
L1568	[1, 0]
L1571	[0, 2]
L1573	[0, 2]
L1578	[1, 1]
L1582	[0, 4]
L1587	[0, 2]
L1592	[1, 1]
L1597	[0, 4]
L1600	[0, 6]
L1604	[0, 4]
L1606	[0, 2]
L1610	[0, 5]
L1613	[1, 0]
L1620	[0, 2]
L1622	[0, 5]
L1630	[0, 3]
L1633	[0, 2]
L1635	[1, 1]
L1639	[3, 2]
L1640	[0, 2]
L1642	[0, 4]
L1647	[0, 3]
L1649	[0, 10]
L1651	[0, 4]
L1659	[1, 1]
L1661	[0, 4]
L1664	[2, 2]
L1668	[2, 2]
L1671	[0, 1]
L1673	[0, 1]
L1675	[2, 2]
L1687	[0, 2]
L1688	[0, 2]
L1690	[0, 3]
L1693	[0, 1]
L1695	[0, 5]
L1697	[0, 1]
L1698	[0, 4]
L1700	[0, 2]
L1702	[0, 1]
L1703	[0, 4]
L1704	[2, 2]
L1705	[0, 3]
L1707	[0, 6]
L1708	[0, 2]
L1711	[0, 3]
L1712	[0, 6]
L1714	[0, 1]
L1715	[2, 2]
L1729	[0, 2]
L1731	[4, 2]
L1734	[2]
L1736	[6, 6]
L1740	[0, 5]
L1741	[0, 10]
L1744	[0, 8]
L1745	[0, 1]
L1746	[0, 2]
L1750	[0, 4]
L1752	[0, 1]
L1755	[0, 3]
L1758	[0, 4]
L1760	[0, 6]
L1763	[4]
L1764	[0, 2]
L1768	[3]
L1770	[4, 0]
L1773	[0, 5]
L1779	[2, 2]
L1781	[2, 2]
L1789	[1, 0]
L1792	[0, 2]
L1794	[0, 2]
L1796	[1, 0]
L1798	[0, 2]
L1801	[0, 1]
L1803	[0, 8]
L1806	[0, 2]
L1808	[0, 2]
L1811	[0, 12]
L1815	[0, 4]
L1819	[0, 1]
L1824	[1, 2]
L1830	[0, 5]
L1836	[0, 4]
L1839	[0, 10]
L1840	[0, 2]
L1842	[0, 7]
L1844	[0, 2]
L1847	[0, 3]
L1849	[0, 2]
L1852	[2, 2]
L1854	[0, 3]
L1860	[2, 0]
L1865	[0, 1]
L1868	[0, 4]
L1870	[0, 8]
L1872	[0, 1]
L1874	[0, 6]
L1876	[0, 4]
L1880	[0, 2]
L1881	[2, 2]
L1884	[1, 1]
L1886	[0, 4]
L1893	[0, 2]
L1896	[0, 13]
L1899	[0, 8]
L1901	[0, 9]
L1904	[0, 1]
L1907	[0, 3]
L1909	[0, 1]
L1915	[0, 2]
L1917	[0, 8]
L1918	[0, 6]
L1920	[0, 1]
L1922	[0, 1]
L1924	[0, 3]
L1931	[0, 9]
L1934	[0, 3]
L1938	[0, 9]
L1940	[0, 4]
L1942	[0, 9]
L1945	[0, 2]
L1948	[0, 2]
L1951	[0, 2]
L1954	[0, 4]
L1960	[0, 4]
L1966	[2, 1]
L1970	[0, 3]
L1974	[2, 2]
L1975	[2, 0]
L1980	[0, 2]
L1983	[0, 1]
L1987	[0, 5]
L1990	[0, 4]
L1992	[0, 2]
L1993	[0, 2]
L1996	[0, 8]
L1997	[0, 2]
L2005	[3]
L2012	[0, 1]
L2018	[0, 3]
L2020	[0, 10]
L2023	[0, 4]
L2025	[0, 1]
L2028	[0, 1]
L2031	[0, 2]
L2035	[0, 4]
L2040	[0, 1]
L2041	[0, 6]
L2043	[0, 2]
L2046	[0, 20]
L2047	[0, 1]
L2050	[0, 1]
L2052	[0, 3]
L2060	[0, 5]
L2066	[3, 0]
L2067	[1, 1]
L2068	[0, 1]
L2076	[0, 7]
L2079	[0, 2]
L2082	[0, 19]
L2085	[2, 2]
L2088	[3, 3]
L2092	[0, 4]
L2097	[0, 3]
L2102	[0, 4]
L2104	[0, 1]
L2111	[1]
L2113	[0, 3]
L2115	[0, 2]
L2118	[0, 5]
L2120	[0, 1]
L2122	[0, 1]
L2124	[0, 16]
L2127	[0, 3]
L2130	[0, 2]
L2133	[0, 3]
L2141	[0, 2]
L2146	[0, 2]
L2149	[0, 3]
L2151	[1, 1]
L2152	[0, 1]
L2157	[0, 2]
L2159	[2, 2]
L2160	[0, 3]
L2169	[0, 4]
L2172	[0, 2]
L2174	[0, 1]
L2178	[0, 1]
L2189	[0, 2]
L2196	[0, 3]
L2200	[0, 1]
L2203	[0, 2]
L2206	[0, 1]
L2208	[0, 3]
L2212	[0, 2]
L2217	[0, 2]
L2223	[0, 3]
L2224	[0, 2]
L2226	[0, 2]
L2230	[0, 2]
L2233	[0, 2]
L2236	[0, 2]
L2239	[0, 4]
L2244	[0, 4]
L2245	[1, 2]
L2246	[2, 1]
L2248	[0, 5]
L2250	[0, 4]
L2255	[1, 1]
L2256	[0, 2]
L2260	[0, 3]
L2263	[0, 4]
L2267	[0, 4]
L2272	[0, 2]
L2278	[0, 4]
L2280	[0, 2]
L2286	[0, 3]
L2291	[0, 3]
L2294	[0, 5]
L2297	[2, 3]
L2298	[0, 2]
L2303	[0, 2]
L2306	[0, 4]
L2308	[0, 4]
L2311	[0, 4]
L2316	[3, 0]
L2317	[1, 1]
L2320	[1, 1]
L2323	[0, 3]
L2333	[0, 2]
L2335	[0, 1]
L2337	[0, 1]
L2339	[0, 4]
L2344	[0, 2]
L2345	[0, 2]
L2348	[0, 1]
L2365	[0, 1]
L2366	[0, 4]
L2367	[0, 2]
L2369	[0, 3]
L2373	[0, 3]
L2376	[0, 3]
L2379	[0, 2]
L2381	[0, 1]
L2384	[0, 4]
L2387	[0, 1]
L2389	[0, 2]
L2396	[0, 4]
L2398	[0, 3]
L2399	[2, 2]
L2407	[0, 9]
L2409	[0, 10]
L2412	[0, 5]
L2415	[2, 1]
L2418	[1, 1]
L2419	[0, 1]
L2420	[0, 2]
L2422	[1, 1]
L2424	[0, 4]
L2430	[0, 2]
L2433	[0, 8]
L2434	[0, 2]
L2440	[1, 1]
L2447	[0, 3]
L2450	[0, 1]
L2452	[0, 4]
L2453	[0, 2]
L2458	[0, 1]
L2460	[0, 8]
L2465	[0, 4]
L2466	[0, 11]
L2467	[0, 1]
L2477	[5, 4]
L2479	[0, 2]
L2480	[0, 2]
L2484	[0, 12]
L2485	[0, 4]
L2489	[1, 1]
L2491	[0, 2]
L2495	[0, 2]
L2500	[0, 29]
L2503	[0, 1]
L2506	[0, 1]
L2507	[0, 2]
L2508	[0, 8]
L2509	[0, 1]
L2510	[0, 1]
L2511	[0, 2]
L2513	[0, 1]
L2514	[0, 2]
L2515	[1, 1]
L2517	[0, 2]
L2519	[0, 1]
L2525	[0, 2]
L2527	[0, 9]
L2528	[2, 1]
L2531	[2, 2]
L2535	[0, 9]
L2537	[0, 6]
L2538	[0, 2]
L2540	[0, 1]
L2541	[0, 6]
L2543	[0, 3]
L2544	[0, 10]
L2547	[0, 4]
L2548	[0, 4]
L2551	[0, 3]
L2552	[0, 5]
L2553	[0, 1]
L2557	[0, 1]
L2559	[0, 5]
L2571	[0, 4]
L2572	[0, 3]
L2577	[0, 1]
L2578	[0, 2]
L2580	[0, 3]
L2586	[0, 4]
L2587	[0, 2]
L2592	[0, 8]
L2593	[0, 9]
L2596	[0, 10]
L2598	[2, 3]
L2599	[0, 2]
L2603	[0, 7]
L2608	[0, 3]
L2612	[0, 5]
L2614	[0, 1]
L2616	[0, 3]
L2617	[0, 1]
L2618	[0, 3]
L2621	[0, 3]
L2627	[0, 4]
L2629	[0, 12]
L2630	[0, 5]
L2634	[0, 3]
L2636	[0, 5]
L2637	[0, 1]
L2644	[0, 6]
L2645	[0, 1]
L2646	[0, 1]
L2651	[0, 1]
L2652	[0, 4]
L2654	[0, 1]
L2656	[0, 2]
L2657	[0, 4]
L2660	[0, 1]
L2663	[0, 2]
L2665	[1, 1]
L2667	[0, 1]
L2668	[0, 7]
L2675	[0, 1]
L2677	[0, 2]
L2678	[0, 3]
L2683	[0, 4]
L2686	[0, 3]
L2689	[0, 3]
L2690	[0, 2]
L2692	[0, 1]
L2694	[0, 1]
L2695	[0, 1]
L2696	[0, 3]
L2697	[0, 16]
L2701	[0, 1]
L2705	[0, 4]
L2706	[0, 4]
L2709	[3, 2]
L2710	[0, 2]
L2712	[0, 3]
L2714	[0, 9]
L2715	[0, 1]
L2717	[0, 2]
L2720	[0, 2]
L2722	[0, 4]
L2731	[0, 4]
L2736	[0, 6]
L2740	[0, 1]
L2742	[0, 3]
L2747	[0, 8]
L2751	[4]
L2754	[0, 1]
L2756	[3]
L2764	[1, 2]
L2769	[2, 2]
L2770	[0, 2]
L2771	[4]
L2773	[0, 3]
L2777	[0, 4]
L2778	[0, 2]
L2782	[0, 2]
L2785	[0, 10]
L2787	[0, 5]
L2790	[0, 4]
L2794	[0, 2]
L2796	[0, 10]
L2800	[0, 2]
L2802	[0, 4]
L2804	[0, 2]
L2805	[0, 1]
L2809	[0, 1]
L2811	[0, 2]
L2815	[0, 4]
L2818	[2]
L2824	[0, 1]
L2827	[0, 1]
L2831	[0, 10]
L2833	[0, 9]
L2836	[0, 1]
L2837	[0, 1]
L2843	[0, 1]
L2844	[0, 1]
L2847	[0, 1]
L2849	[0, 4]
L2851	[2]
L2854	[0, 6]
L2855	[3]
L2856	[0, 8]
L2857	[0, 1]
L2859	[5, 4]
L2861	[0, 3]
L2863	[0, 15]
L2867	[0, 1]
L2870	[0, 3]
L2873	[0, 2]
L2875	[0, 2]
L2879	[0, 10]
L2884	[0, 1]
L2886	[0, 2]
L2888	[0, 4]
L2893	[0, 4]
L2895	[0, 5]
L2896	[0, 1]
L2899	[5]
L2903	[0, 2]
L2905	[0, 1]
L2907	[0, 3]
L2908	[0, 3]
L2909	[3, 2]
L2913	[0, 2]
L2914	[0, 1]
L2917	[0, 4]
L2918	[0, 5]
L2925	[0, 3]
L2929	[0, 4]
L2934	[0, 3]
L2937	[0, 7]
L2943	[0, 3]
L2948	[0, 2]
L2950	[0, 1]
L2952	[0, 6]
L2954	[0, 2]
L2957	[0, 2]
L2959	[0, 1]
L2961	[0, 2]
L2965	[0, 2]
L2970	[0, 3]
L2973	[0, 5]
L2978	[0, 2]
L2983	[0, 4]
L2985	[4, 4]
L2987	[0, 2]
L2993	[0, 4]
L2995	[0, 5]
L2996	[0, 4]
L3001	[0, 2]
L3006	[0, 2]
L3010	[0, 2]
L3012	[0, 1]
L3014	[0, 5]
L3019	[2, 2]
L3021	[0, 2]
L3023	[0, 2]
L3026	[0, 5]
L3028	[0, 5]
L3029	[0, 6]
L3030	[0, 1]
L3033	[0, 2]
L3034	[0, 1]
L3035	[1, 2]
L3037	[0, 8]
L3039	[0, 3]
L3041	[0, 2]
L3043	[0, 2]
L3045	[0, 2]
L3051	[0, 1]
L3052	[0, 3]
L3054	[0, 1]
L3056	[0, 3]
L3059	[0, 2]
L3063	[0, 1]
L3064	[2, 2]
L3068	[0, 6]
L3070	[0, 1]
L3072	[0, 3]
L3076	[0, 4]
L3078	[2, 0]
L3080	[0, 2]
L3093	[0, 3]
L3098	[0, 4]
L3100	[0, 3]
L3103	[0, 6]
L3106	[0, 3]
L3110	[0, 2]
L3112	[2, 2]
L3113	[0, 1]
L3116	[0, 5]
L3117	[0, 1]
L3118	[0, 4]
L3119	[0, 3]
L3122	[0, 3]
L3123	[0, 1]
L3124	[0, 3]
L3126	[0, 2]
L3127	[0, 3]
L3130	[0, 3]
L3131	[0, 1]
L3133	[0, 4]
L3135	[0, 2]
L3137	[0, 4]
L3138	[0, 4]
L3140	[1, 1]
L3145	[0, 5]
L3149	[0, 4]
L3153	[0, 7]
L3155	[0, 3]
L3158	[0, 2]
L3159	[2, 1]
L3161	[0, 5]
L3162	[0, 1]
L3168	[0, 2]
L3172	[0, 2]
L3174	[0, 3]
L3180	[0, 4]
L3182	[0, 2]
L3185	[1, 2]
L3186	[0, 2]
L3188	[0, 2]
L3190	[0, 1]
L3192	[1, 0]
L3195	[0, 2]
L3196	[5, 5]
L3198	[0, 4]
L3202	[0, 1]
L3207	[0, 4]
L3209	[3, 3]
L3210	[2]
L3214	[0, 4]
L3218	[0, 10]
L3223	[4, 4]
L3225	[0, 4]
L3229	[0, 4]
L3232	[0, 5]
L3234	[0, 4]
L3236	[1, 2]
L3240	[2, 1]
L3242	[5, 5]
L3244	[5, 4]
L3248	[0, 5]
L3250	[0, 4]
L3252	[2, 2]
L3257	[0, 1]
L3258	[0, 6]
L3260	[0, 1]
L3263	[0, 4]
L3265	[0, 2]
L3268	[2, 2]
L3269	[0, 3]
L3271	[1, 1]
L3273	[0, 5]
L3275	[0, 1]
L3277	[0, 2]
L3283	[0, 4]
L3287	[0, 4]
L3292	[0, 6]
L3297	[0, 2]
L3300	[0, 2]
L3304	[0, 3]
L3307	[0, 2]
L3308	[1, 1]
L3310	[5, 4]
L3312	[1, 1]
L3314	[0, 4]
L3315	[0, 2]
L3319	[0, 4]
L3321	[3, 3]
L3323	[2, 0]
L3324	[2, 1]
L3326	[0, 5]
L3328	[0, 2]
L3332	[1, 1]
L3333	[3, 3]
L3336	[0, 4]
L3338	[0, 2]
L3341	[0, 1]
L3344	[2, 1]
L3346	[0, 3]
L3349	[1, 1]
L3350	[0, 3]
L3351	[3, 0]
L3354	[2, 2]
L3357	[2, 2]
L3359	[3, 0]
L3360	[0, 6]
L3365	[0, 2]
L3369	[0, 1]
L3371	[0, 6]
L3373	[3, 3]
L3377	[0, 5]
L3383	[0, 1]
L3385	[2, 0]
L3388	[0, 4]
L3390	[3, 0]
L3398	[0, 1]
L3400	[0, 4]
L3402	[0, 5]
L3404	[0, 6]
L3405	[0, 2]
L3406	[1, 1]
L3407	[1, 0]
L3409	[0, 5]
L3412	[0, 1]
L3417	[0, 2]
L3420	[0, 1]
L3421	[0, 7]
L3422	[1, 1]
L3424	[0, 3]
L3426	[0, 8]
L3429	[0, 3]
L3433	[0, 4]
L3434	[2, 0]
L3438	[0, 6]
L3442	[0, 1]
L3444	[2, 2]
L3446	[0, 4]
L3448	[0, 3]
L3453	[1, 1]
L3456	[1, 0]
L3459	[0, 4]
L3462	[8, 0]
L3464	[0, 1]
L3466	[0, 1]
L3468	[0, 3]
L3470	[2, 2]
L3471	[0, 4]
L3473	[4, 0]
L3476	[0, 5]
L3478	[4, 0]
L3479	[2, 2]
L3481	[0, 1]
L3484	[0, 4]
L3485	[0, 1]
L3487	[0, 1]
L3488	[0, 2]
L3489	[4, 3]
L3496	[6, 0]
L3499	[2, 0]
L3502	[0, 2]
L3503	[0, 3]
L3505	[0, 6]
L3509	[0, 9]
L3511	[2, 2]
L3513	[0, 2]
L3520	[0, 2]
L3521	[0, 5]
L3523	[0, 3]
L3525	[0, 2]
L3529	[1, 0]
L3532	[3, 0]
L3534	[2, 1]
L3536	[0, 1]
L3540	[2, 2]
L3542	[0, 1]
L3546	[0, 2]
L3550	[1, 1]
L3551	[0, 2]
L3552	[0, 12]
L3554	[0, 2]
L3555	[0, 2]
L3557	[2, 1]
L3560	[0, 3]
L3562	[0, 3]
L3565	[0, 4]
L3568	[0, 2]
L3571	[0, 1]
L3573	[2, 2]
L3575	[3, 0]
L3576	[1, 1]
L3580	[1, 0]
L3582	[0, 17]
L3586	[1, 1]
L3589	[0, 1]
L3591	[0, 1]
L3592	[1, 2]
L3595	[0, 2]
L3598	[0, 3]
L3601	[0, 2]
L3604	[0, 2]
L3606	[0, 12]
L3610	[0, 6]
L3613	[0, 4]
L3619	[0, 4]
L3626	[1, 1]
L3629	[0, 3]
L3631	[3, 0]
L3634	[5, 0]
L3637	[1, 1]
L3640	[2, 2]
L3641	[0, 7]
L3643	[5, 0]
L3647	[2, 2]
L3650	[0, 2]
L3653	[2, 2]
L3656	[0, 3]
L3660	[0, 4]
L3663	[3, 0]
L3667	[0, 7]
L3670	[2, 2]
L3672	[0, 4]
L3674	[0, 2]
L3677	[0, 4]
L3679	[3, 0]
L3680	[0, 4]
L3682	[0, 1]
L3684	[0, 4]
L3685	[0, 8]
L3690	[0, 2]
L3692	[0, 2]
L3695	[0, 4]
L3696	[0, 3]
L3699	[0, 3]
L3700	[0, 3]
L3703	[0, 3]
L3704	[0, 4]
L3705	[0, 14]
L3707	[3, 0]
L3709	[0, 9]
L3710	[0, 3]
L3714	[6, 6]
L3717	[0, 5]
L3719	[2, 2]
L3722	[0, 4]
L3724	[2, 2]
L3726	[2, 0]
L3727	[0, 3]
L3732	[0, 3]
L3734	[0, 4]
L3735	[0, 3]
L3739	[0, 10]
L3741	[0, 3]
L3742	[0, 1]
L3743	[0, 13]
L3746	[0, 3]
L3748	[0, 1]
L3750	[0, 4]
L3752	[0, 2]
L3755	[3, 0]
L3757	[0, 2]
L3759	[0, 2]
L3762	[0, 6]
L3765	[0, 2]
L3767	[0, 2]
L3769	[0, 3]
L3771	[0, 1]
L3774	[0, 3]
L3777	[0, 2]
L3780	[3, 1]
L3782	[0, 4]
L3785	[0, 1]
L3788	[0, 4]
L3789	[0, 1]
L3793	[1, 0]
L3796	[0, 6]
L3798	[0, 2]
L3802	[0, 5]
L3804	[0, 2]
L3805	[0, 4]
L3806	[4, 0]
L3811	[2, 0]
L3812	[0, 9]
L3813	[0, 1]
L3816	[0, 4]
L3818	[2, 2]
L3822	[0, 2]
L3825	[0, 2]
L3827	[0, 2]
L3830	[3, 3]
L3832	[0, 7]
L3834	[0, 2]
L3837	[5, 0]
L3842	[0, 2]
L3846	[0, 5]
L3848	[0, 3]
L3851	[0, 5]
L3853	[0, 21]
L3855	[2, 1]
L3857	[3, 3]
L3861	[0, 4]
L3863	[1, 1]
L3865	[0, 3]
L3867	[0, 13]
L3872	[3, 3]
L3875	[0, 2]
L3878	[0, 8]
L3879	[0, 2]
L3880	[0, 9]
L3884	[2, 0]
L3886	[0, 2]
L3890	[0, 2]
L3893	[0, 3]
L3894	[0, 4]
L3896	[0, 3]
L3900	[0, 14]
L3901	[0, 4]
L3904	[0, 6]
L3906	[0, 2]
L3910	[1, 1]
L3911	[0, 4]
L3914	[0, 5]
L3917	[0, 1]
L3920	[0, 3]
L3924	[0, 9]
L3930	[0, 9]
L3931	[0, 3]
L3932	[1, 1]
L3934	[5, 4]
